full_address,estimate_date,estimate_value,estimate_range,link
"29A Nalanda Crescent, Broadmeadows, Wellington",1/01/1970,$910K,$870K - $950K,https://www.homes.co.nz/address/wellington/broadmeadows/29a-nalanda-crescent/OgEaj
"6A Hindipur Terrace, Broadmeadows, Wellington",11/05/2017,$950K,$910K - $995K,https://www.homes.co.nz/address/wellington/broadmeadows/6a-hindipur-terrace/BlWj5
"60 John Sims Drive, Broadmeadows, Wellington",1/07/1997,$1.26M,$1.2M - $1.31M,https://www.homes.co.nz/address/wellington/broadmeadows/60-john-sims-drive/ggO29
"2 Orissa Crescent, Broadmeadows, Wellington",25/08/2019,$1.67M,$1.6M - $1.74M,https://www.homes.co.nz/address/wellington/broadmeadows/2-orissa-crescent/849VG
"58A John Sims Drive, Broadmeadows, Wellington",24/01/2005,$820K,$785K - $855K,https://www.homes.co.nz/address/wellington/broadmeadows/58a-john-sims-drive/7Ev5N
"25B Orissa Crescent, Broadmeadows, Wellington",1/01/1970,$745K,$710K - $775K,https://www.homes.co.nz/address/wellington/broadmeadows/25b-orissa-crescent/NXNP4
"1/27 Kanpur Road, Broadmeadows, Wellington",4/04/2018,$885K,$845K - $925K,https://www.homes.co.nz/address/wellington/broadmeadows/1-27-kanpur-road/x4zBz
"22 Kanpur Road, Broadmeadows, Wellington",1/01/1970,$1.04M,$995K - $1.08M,https://www.homes.co.nz/address/wellington/broadmeadows/22-kanpur-road/o0WqQ
"19 Nalanda Crescent, Broadmeadows, Wellington",9/03/2003,$985K,$940K - $1.03M,https://www.homes.co.nz/address/wellington/broadmeadows/19-nalanda-crescent/Y2gRn
"7 Orissa Crescent, Broadmeadows, Wellington",7/12/2019,$1.16M,$1.11M - $1.21M,https://www.homes.co.nz/address/wellington/broadmeadows/7-orissa-crescent/ekwWx
"4A Sirsi Terrace, Broadmeadows, Wellington",20/11/2013,$1.29M,$1.24M - $1.35M,https://www.homes.co.nz/address/wellington/broadmeadows/4a-sirsi-terrace/jDJkM
"9A Sirsi Terrace, Broadmeadows, Wellington",13/09/2012,$1.32M,$1.26M - $1.37M,https://www.homes.co.nz/address/wellington/broadmeadows/9a-sirsi-terrace/2EbA8
"1 Sirsi Terrace, Broadmeadows, Wellington",1/01/1970,$970K,$930K - $1.01M,https://www.homes.co.nz/address/wellington/broadmeadows/1-sirsi-terrace/LD8ao
"24 Orissa Crescent, Broadmeadows, Wellington",1/01/1970,$1.34M,$1.29M - $1.4M,https://www.homes.co.nz/address/wellington/broadmeadows/24-orissa-crescent/9Y58P
"7 Nagpur Terrace, Broadmeadows, Wellington",15/02/2006,$1.23M,$1.18M - $1.29M,https://www.homes.co.nz/address/wellington/broadmeadows/7-nagpur-terrace/lXEqo
"28 Marjory Close, Broadmeadows, Wellington",14/10/2006,$1.26M,$1.21M - $1.32M,https://www.homes.co.nz/address/wellington/broadmeadows/28-marjory-close/15EoR
