WKT,address_id,change_id,address_type,unit_value,address_number,address_number_suffix,address_number_high,water_route_name,water_name,suburb_locality,town_city,full_address_number,full_road_name,full_address,road_section_id,gd2000_xcoord,gd2000_ycoord,water_route_name_ascii,water_name_ascii,suburb_locality_ascii,town_city_ascii,full_road_name_ascii,full_address_ascii,shape_X,shape_Y
POINT (174.7922828167 -41.23357695),369186,1579124,Road,,29,A,,,,Broadmeadows,Wellington,29A,Nalanda Crescent,"29A Nalanda Crescent, Broadmeadows, Wellington",94231,174.79228282,-41.23357695,,,Broadmeadows,Wellington,Nalanda Crescent,"29A Nalanda Crescent, Broadmeadows, Wellington",174.7922828167,-41.23357695
POINT (174.7934356 -41.2347101833),369353,1579140,Road,,6,A,,,,Broadmeadows,Wellington,6A,Hindipur Terrace,"6A Hindipur Terrace, Broadmeadows, Wellington",101752,174.79343560,-41.23471018,,,Broadmeadows,Wellington,Hindipur Terrace,"6A Hindipur Terrace, Broadmeadows, Wellington",174.7934356,-41.2347101833
POINT (174.7944369333 -41.2323933167),369328,1543812,Road,,60,,,,,Broadmeadows,Wellington,60,John Sims Drive,"60 John Sims Drive, Broadmeadows, Wellington",384847,174.79443693,-41.23239332,,,Broadmeadows,Wellington,John Sims Drive,"60 John Sims Drive, Broadmeadows, Wellington",174.7944369333,-41.2323933167
POINT (174.7964279167 -41.2374494667),376690,334733,Road,,2,,,,,Broadmeadows,Wellington,2,Orissa Crescent,"2 Orissa Crescent, Broadmeadows, Wellington",73401,174.79642792,-41.23744947,,,Broadmeadows,Wellington,Orissa Crescent,"2 Orissa Crescent, Broadmeadows, Wellington",174.7964279167,-41.2374494667
POINT (174.7946222333 -41.2325126),369311,1768728,Road,,58,A,,,,Broadmeadows,Wellington,58A,John Sims Drive,"58A John Sims Drive, Broadmeadows, Wellington",384847,174.79462223,-41.23251260,,,Broadmeadows,Wellington,John Sims Drive,"58A John Sims Drive, Broadmeadows, Wellington",174.7946222333,-41.2325126
POINT (174.7948627667 -41.2391451167),1599568,1699354,Road,,25,B,,,,Broadmeadows,Wellington,25B,Orissa Crescent,"25B Orissa Crescent, Broadmeadows, Wellington",73401,174.79486277,-41.23914512,,,Broadmeadows,Wellington,Orissa Crescent,"25B Orissa Crescent, Broadmeadows, Wellington",174.7948627667,-41.2391451167
POINT (174.79531935 -41.2378014667),1639369,1800643,Road,1,27,,,,,Broadmeadows,Wellington,1/27,Kanpur Road,"1/27 Kanpur Road, Broadmeadows, Wellington",83461,174.79531935,-41.23780147,,,Broadmeadows,Wellington,Kanpur Road,"1/27 Kanpur Road, Broadmeadows, Wellington",174.79531935,-41.2378014667
POINT (174.7949820667 -41.2372029833),369500,328257,Road,,22,,,,,Broadmeadows,Wellington,22,Kanpur Road,"22 Kanpur Road, Broadmeadows, Wellington",83461,174.79498207,-41.23720298,,,Broadmeadows,Wellington,Kanpur Road,"22 Kanpur Road, Broadmeadows, Wellington",174.7949820667,-41.2372029833
POINT (174.7932095167 -41.2343632833),369115,327956,Road,,19,,,,,Broadmeadows,Wellington,19,Nalanda Crescent,"19 Nalanda Crescent, Broadmeadows, Wellington",72023,174.79320952,-41.23436328,,,Broadmeadows,Wellington,Nalanda Crescent,"19 Nalanda Crescent, Broadmeadows, Wellington",174.7932095167,-41.2343632833
POINT (174.7963703667 -41.23803205),376878,334906,Road,,7,,,,,Broadmeadows,Wellington,7,Orissa Crescent,"7 Orissa Crescent, Broadmeadows, Wellington",73401,174.79637037,-41.23803205,,,Broadmeadows,Wellington,Orissa Crescent,"7 Orissa Crescent, Broadmeadows, Wellington",174.7963703667,-41.23803205
POINT (174.7917085 -41.2358724333),1639373,1709242,Road,,4,A,,,,Broadmeadows,Wellington,4A,Sirsi Terrace,"4A Sirsi Terrace, Broadmeadows, Wellington",89329,174.79170850,-41.23587243,,,Broadmeadows,Wellington,Sirsi Terrace,"4A Sirsi Terrace, Broadmeadows, Wellington",174.7917085,-41.2358724333
POINT (174.79141255 -41.2362979833),1410893,1671319,Road,,9,A,,,,Broadmeadows,Wellington,9A,Sirsi Terrace,"9A Sirsi Terrace, Broadmeadows, Wellington",89329,174.79141255,-41.23629798,,,Broadmeadows,Wellington,Sirsi Terrace,"9A Sirsi Terrace, Broadmeadows, Wellington",174.79141255,-41.2362979833
POINT (174.7922437333 -41.2360845),369483,328244,Road,,1,,,,,Broadmeadows,Wellington,1,Sirsi Terrace,"1 Sirsi Terrace, Broadmeadows, Wellington",89329,174.79224373,-41.23608450,,,Broadmeadows,Wellington,Sirsi Terrace,"1 Sirsi Terrace, Broadmeadows, Wellington",174.7922437333,-41.2360845
POINT (174.7949363333 -41.2384619667),369506,328263,Road,,24,,,,,Broadmeadows,Wellington,24,Orissa Crescent,"24 Orissa Crescent, Broadmeadows, Wellington",73401,174.79493633,-41.23846197,,,Broadmeadows,Wellington,Orissa Crescent,"24 Orissa Crescent, Broadmeadows, Wellington",174.7949363333,-41.2384619667
POINT (174.7937744167 -41.2369643667),369768,328497,Road,,7,,,,,Broadmeadows,Wellington,7,Nagpur Terrace,"7 Nagpur Terrace, Broadmeadows, Wellington",101755,174.79377442,-41.23696437,,,Broadmeadows,Wellington,Nagpur Terrace,"7 Nagpur Terrace, Broadmeadows, Wellington",174.7937744167,-41.2369643667
POINT (174.7939218833 -41.2305167167),369184,328008,Road,,28,,,,,Broadmeadows,Wellington,28,Marjory Close,"28 Marjory Close, Broadmeadows, Wellington",99617,174.79392188,-41.23051672,,,Broadmeadows,Wellington,Marjory Close,"28 Marjory Close, Broadmeadows, Wellington",174.7939218833,-41.2305167167
POINT (174.7961659667 -41.2383090833),376520,334580,Road,,11,,,,,Broadmeadows,Wellington,11,Orissa Crescent,"11 Orissa Crescent, Broadmeadows, Wellington",73401,174.79616597,-41.23830908,,,Broadmeadows,Wellington,Orissa Crescent,"11 Orissa Crescent, Broadmeadows, Wellington",174.7961659667,-41.2383090833
POINT (174.7976393833 -41.2338922167),1475113,1680668,Road,,24,B,,,,Broadmeadows,Wellington,24B,John Sims Drive,"24B John Sims Drive, Broadmeadows, Wellington",73044,174.79763938,-41.23389222,,,Broadmeadows,Wellington,John Sims Drive,"24B John Sims Drive, Broadmeadows, Wellington",174.7976393833,-41.2338922167
POINT (174.7935485333 -41.231663),369351,1543820,Road,,68,,,,,Broadmeadows,Wellington,68,John Sims Drive,"68 John Sims Drive, Broadmeadows, Wellington",384847,174.79354853,-41.23166300,,,Broadmeadows,Wellington,John Sims Drive,"68 John Sims Drive, Broadmeadows, Wellington",174.7935485333,-41.231663
POINT (174.7913795667 -41.2348604333),369116,327957,Road,,19,,,,,Broadmeadows,Wellington,19,Jaunpur Crescent,"19 Jaunpur Crescent, Broadmeadows, Wellington",76383,174.79137957,-41.23486043,,,Broadmeadows,Wellington,Jaunpur Crescent,"19 Jaunpur Crescent, Broadmeadows, Wellington",174.7913795667,-41.2348604333
POINT (174.7946608 -41.2346586667),369126,327964,Road,,1,,,,,Broadmeadows,Wellington,1,Sanchi Way,"1 Sanchi Way, Broadmeadows, Wellington",75381,174.79466080,-41.23465867,,,Broadmeadows,Wellington,Sanchi Way,"1 Sanchi Way, Broadmeadows, Wellington",174.7946608,-41.2346586667
