full_address,estimate_date,estimate_value,estimate_range,link
"62B Winston Street, Crofton Downs, Wellington",2/06/2021,$660K,$615K - $705K,https://www.homes.co.nz/address/wellington/crofton-downs/62b-winston-street/K0r1x
"3 Woodford Way, Crofton Downs, Wellington",1/01/1970,$1.32M,$1.23M - $1.41M,https://www.homes.co.nz/address/wellington/crofton-downs/3-woodford-way/NXVvW
"87 Downing Street, Crofton Downs, Wellington",11/10/2007,$1.45M,$1.36M - $1.55M,https://www.homes.co.nz/address/wellington/crofton-downs/87-downing-street/E0apa
"10 Cassis Place, Crofton Downs, Wellington",19/06/2019,$1.48M,$1.38M - $1.58M,https://www.homes.co.nz/address/wellington/crofton-downs/10-cassis-place/QRM8Y
"2 Sasanqua Way, Crofton Downs, Wellington",30/10/2014,$1.09M,$1.02M - $1.17M,https://www.homes.co.nz/address/wellington/crofton-downs/2-sasanqua-way/OgyVM
"50 Spencer Street, Crofton Downs, Wellington",21/06/2019,$1.39M,$1.29M - $1.48M,https://www.homes.co.nz/address/wellington/crofton-downs/50-spencer-street/ZoBeP
"10 John Witton Drive, Crofton Downs, Wellington",3/12/1998,$1.03M,$955K - $1.1M,https://www.homes.co.nz/address/wellington/crofton-downs/10-john-witton-drive/JLZDe
"23 Spencer Street, Crofton Downs, Wellington",21/11/2008,$1.08M,$1M - $1.15M,https://www.homes.co.nz/address/wellington/crofton-downs/23-spencer-street/9YRwJ
"33 Spencer Street, Crofton Downs, Wellington",11/12/2012,$1.19M,$1.11M - $1.27M,https://www.homes.co.nz/address/wellington/crofton-downs/33-spencer-street/VaVnW
"14 Winston Street, Crofton Downs, Wellington",7/11/2019,$1.17M,$1.09M - $1.25M,https://www.homes.co.nz/address/wellington/crofton-downs/14-winston-street/VaeM9
"2 Downing Street, Crofton Downs, Wellington",26/05/2012,$835K,$780K - $890K,https://www.homes.co.nz/address/wellington/crofton-downs/2-downing-street/ekREW
"21 Silverstream Road, Crofton Downs, Wellington",21/09/2011,$1.21M,$1.13M - $1.29M,https://www.homes.co.nz/address/wellington/crofton-downs/21-silverstream-road/o0484
"12 Cavalry Close, Crofton Downs, Wellington",1/01/1970,$1.91M,$1.78M - $2.04M,https://www.homes.co.nz/address/wellington/crofton-downs/12-cavalry-close/X40Oj
"18 John Witton Drive, Crofton Downs, Wellington",13/06/2021,$1.08M,$1.01M - $1.15M,https://www.homes.co.nz/address/wellington/crofton-downs/18-john-witton-drive/X4q4b
"6 Cassis Place, Crofton Downs, Wellington",13/09/2002,$1.32M,$1.23M - $1.41M,https://www.homes.co.nz/address/wellington/crofton-downs/6-cassis-place/4EbRk
"26 Winston Street, Crofton Downs, Wellington",19/06/2019,$1.25M,$1.17M - $1.33M,https://www.homes.co.nz/address/wellington/crofton-downs/26-winston-street/wx5MW
"9 Oldham Way, Crofton Downs, Wellington",5/04/2005,$980K,$915K - $1.05M,https://www.homes.co.nz/address/wellington/crofton-downs/9-oldham-way/ek5LK
"13 John Witton Drive, Crofton Downs, Wellington",1/01/1970,$990K,$920K - $1.06M,https://www.homes.co.nz/address/wellington/crofton-downs/13-john-witton-drive/rXqqn
"75 Chartwell Drive, Crofton Downs, Wellington",25/05/2004,$1.11M,$1.04M - $1.19M,https://www.homes.co.nz/address/wellington/crofton-downs/75-chartwell-drive/4EYXE
"3B Jerome Way, Crofton Downs, Wellington",28/07/2017,$635K,$590K - $675K,https://www.homes.co.nz/address/wellington/crofton-downs/3b-jerome-way/ybwBb
"6 Martha Place, Crofton Downs, Wellington",27/04/2003,$1.18M,$1.1M - $1.26M,https://www.homes.co.nz/address/wellington/crofton-downs/6-martha-place/Y2yXn
"6A Cavalry Close, Crofton Downs, Wellington",10/07/1998,$1.09M,$1.02M - $1.17M,https://www.homes.co.nz/address/wellington/crofton-downs/6a-cavalry-close/RON91
"103 Churchill Drive, Crofton Downs, Wellington",1/01/1970,$1.19M,$1.11M - $1.27M,https://www.homes.co.nz/address/wellington/crofton-downs/103-churchill-drive/4ENyE
"34 Downing Street, Crofton Downs, Wellington",15/05/2015,$1.7M,$1.58M - $1.81M,https://www.homes.co.nz/address/wellington/crofton-downs/34-downing-street/rXM4n
"111B Churchill Drive, Crofton Downs, Wellington",1/01/1970,$785K,$730K - $835K,https://www.homes.co.nz/address/wellington/crofton-downs/111b-churchill-drive/ROJqE
"98 Downing Street, Crofton Downs, Wellington",17/09/2013,$1.26M,$1.18M - $1.35M,https://www.homes.co.nz/address/wellington/crofton-downs/98-downing-street/Mk5P4
"3 Sandhurst Way, Crofton Downs, Wellington",15/08/2005,$790K,$735K - $840K,https://www.homes.co.nz/address/wellington/crofton-downs/3-sandhurst-way/MkNz4
"89 Downing Street, Crofton Downs, Wellington",22/08/2007,$1.45M,$1.35M - $1.55M,https://www.homes.co.nz/address/wellington/crofton-downs/89-downing-street/zO5Bz
"3B Chancellor Way, Crofton Downs, Wellington",11/08/2005,$715K,$665K - $765K,https://www.homes.co.nz/address/wellington/crofton-downs/3b-chancellor-way/7Exlv
"70 Downing Street, Crofton Downs, Wellington",10/06/2002,$1.45M,$1.35M - $1.55M,https://www.homes.co.nz/address/wellington/crofton-downs/70-downing-street/rXb0n
"52 Chartwell Drive, Crofton Downs, Wellington",17/11/2017,$875K,$815K - $935K,https://www.homes.co.nz/address/wellington/crofton-downs/52-chartwell-drive/DLAjL
"81 Chartwell Drive, Crofton Downs, Wellington",1/01/1970,$975K,$905K - $1.04M,https://www.homes.co.nz/address/wellington/crofton-downs/81-chartwell-drive/4EeG8
"110 Downing Street, Crofton Downs, Wellington",18/05/2016,$1.4M,$1.31M - $1.5M,https://www.homes.co.nz/address/wellington/crofton-downs/110-downing-street/ybL8W
"73 Downing Street, Crofton Downs, Wellington",1/12/2017,$1.28M,$1.2M - $1.37M,https://www.homes.co.nz/address/wellington/crofton-downs/73-downing-street/Y2EoP
"83 Downing Street, Crofton Downs, Wellington",12/02/2008,$1.39M,$1.3M - $1.49M,https://www.homes.co.nz/address/wellington/crofton-downs/83-downing-street/vygVl
"37 Spencer Street, Crofton Downs, Wellington",6/12/2006,$1.21M,$1.13M - $1.29M,https://www.homes.co.nz/address/wellington/crofton-downs/37-spencer-street/7EZ8D
"9A Chequers Way, Crofton Downs, Wellington",11/07/2016,$815K,$760K - $870K,https://www.homes.co.nz/address/wellington/crofton-downs/9a-chequers-way/DLJ4v
"12 Downing Street, Crofton Downs, Wellington",12/11/2001,$1.3M,$1.21M - $1.39M,https://www.homes.co.nz/address/wellington/crofton-downs/12-downing-street/QR70A
"26 John Witton Drive, Crofton Downs, Wellington",29/11/2006,$1.09M,$1.02M - $1.16M,https://www.homes.co.nz/address/wellington/crofton-downs/26-john-witton-drive/OgVnX
"8 Kilgour Way, Crofton Downs, Wellington",27/05/2008,$1.02M,$955K - $1.09M,https://www.homes.co.nz/address/wellington/crofton-downs/8-kilgour-way/W4X4b
"100 Downing Street, Crofton Downs, Wellington",2/11/2018,$595K,$545K - $645K,https://www.homes.co.nz/address/wellington/crofton-downs/100-downing-street/DL1g1
"1/54 Winston Street, Crofton Downs, Wellington",21/05/2003,$725K,$675K - $770K,https://www.homes.co.nz/address/wellington/crofton-downs/1-54-winston-street/LDK2K
"34 John Witton Drive, Crofton Downs, Wellington",2/01/2012,$1.06M,$990K - $1.13M,https://www.homes.co.nz/address/wellington/crofton-downs/34-john-witton-drive/vObwZ
"84 Downing Street, Crofton Downs, Wellington",20/06/2013,$1.4M,$1.31M - $1.49M,https://www.homes.co.nz/address/wellington/crofton-downs/84-downing-street/ggXOQ
"102 Downing Street, Crofton Downs, Wellington",6/08/2009,$1.43M,$1.34M - $1.53M,https://www.homes.co.nz/address/wellington/crofton-downs/102-downing-street/yb8zO
"10 Cavalry Close, Crofton Downs, Wellington",7/05/2002,$1.12M,$1.04M - $1.19M,https://www.homes.co.nz/address/wellington/crofton-downs/10-cavalry-close/0r0on
