WKT,address_id,change_id,address_type,unit_value,address_number,address_number_suffix,address_number_high,water_route_name,water_name,suburb_locality,town_city,full_address_number,full_road_name,full_address,road_section_id,gd2000_xcoord,gd2000_ycoord,water_route_name_ascii,water_name_ascii,suburb_locality_ascii,town_city_ascii,full_road_name_ascii,full_address_ascii,shape_X,shape_Y
POINT (174.76231805 -41.2590506833),2016681,1768806,Road,,62,B,,,,Crofton Downs,Wellington,62B,Winston Street,"62B Winston Street, Crofton Downs, Wellington",352945,174.76231805,-41.25905068,,,Crofton Downs,Wellington,Winston Street,"62B Winston Street, Crofton Downs, Wellington",174.76231805,-41.2590506833
POINT (174.7651692667 -41.25451815),1698711,1442247,Road,,3,,,,,Crofton Downs,Wellington,3,Woodford Way,"3 Woodford Way, Crofton Downs, Wellington",95245,174.76516927,-41.25451815,,,Crofton Downs,Wellington,Woodford Way,"3 Woodford Way, Crofton Downs, Wellington",174.7651692667,-41.25451815
POINT (174.7641072 -41.25735505),349485,310282,Road,,40,,,,,Crofton Downs,Wellington,40,Winston Street,"40 Winston Street, Crofton Downs, Wellington",98720,174.76410720,-41.25735505,,,Crofton Downs,Wellington,Winston Street,"40 Winston Street, Crofton Downs, Wellington",174.7641072,-41.25735505
POINT (174.76275115 -41.2610906833),349495,310288,Road,,43,,,,,Crofton Downs,Wellington,43,Chartwell Drive,"43 Chartwell Drive, Crofton Downs, Wellington",95248,174.76275115,-41.26109068,,,Crofton Downs,Wellington,Chartwell Drive,"43 Chartwell Drive, Crofton Downs, Wellington",174.76275115,-41.2610906833
POINT (174.7594811833 -41.2560224333),1538707,1337244,Road,,87,,,,,Crofton Downs,Wellington,87,Downing Street,"87 Downing Street, Crofton Downs, Wellington",351474,174.75948118,-41.25602243,,,Crofton Downs,Wellington,Downing Street,"87 Downing Street, Crofton Downs, Wellington",174.7594811833,-41.2560224333
POINT (174.75909895 -41.2565592167),1570772,1361081,Road,,77,,,,,Crofton Downs,Wellington,77,Downing Street,"77 Downing Street, Crofton Downs, Wellington",330987,174.75909895,-41.25655922,,,Crofton Downs,Wellington,Downing Street,"77 Downing Street, Crofton Downs, Wellington",174.75909895,-41.2565592167
POINT (174.7648725333 -41.2575642833),349323,310125,Road,,10,,,,,Crofton Downs,Wellington,10,Cassis Place,"10 Cassis Place, Crofton Downs, Wellington",84228,174.76487253,-41.25756428,,,Crofton Downs,Wellington,Cassis Place,"10 Cassis Place, Crofton Downs, Wellington",174.7648725333,-41.2575642833
POINT (174.7587332833 -41.26200715),349438,310237,Road,,2,,,,,Crofton Downs,Wellington,2,Sasanqua Way,"2 Sasanqua Way, Crofton Downs, Wellington",74250,174.75873328,-41.26200715,,,Crofton Downs,Wellington,Sasanqua Way,"2 Sasanqua Way, Crofton Downs, Wellington",174.7587332833,-41.26200715
POINT (174.7618474167 -41.2543192),349281,310084,Road,,50,,,,,Crofton Downs,Wellington,50,Spencer Street,"50 Spencer Street, Crofton Downs, Wellington",95534,174.76184742,-41.25431920,,,Crofton Downs,Wellington,Spencer Street,"50 Spencer Street, Crofton Downs, Wellington",174.7618474167,-41.2543192
POINT (174.7589985333 -41.26215055),349320,310122,Road,,10,,,,,Crofton Downs,Wellington,10,John Witton Drive,"10 John Witton Drive, Crofton Downs, Wellington",73226,174.75899853,-41.26215055,,,Crofton Downs,Wellington,John Witton Drive,"10 John Witton Drive, Crofton Downs, Wellington",174.7589985333,-41.26215055
POINT (174.76274185 -41.25559725),1649188,1711228,Road,,35,B,,,,Crofton Downs,Wellington,35B,Spencer Street,"35B Spencer Street, Crofton Downs, Wellington",98036,174.76274185,-41.25559725,,,Crofton Downs,Wellington,Spencer Street,"35B Spencer Street, Crofton Downs, Wellington",174.76274185,-41.25559725
