full_address,estimate_date,estimate_value,estimate_range,link
"71 Haumia Street, Johnsonville, Wellington",1/06/2017,$1.06M,$985K - $1.13M,https://www.homes.co.nz/address/wellington/johnsonville/71-haumia-street/QReGA
"19A Clifford Road, Johnsonville, Wellington",9/03/2008,$1.01M,$935K - $1.08M,https://www.homes.co.nz/address/wellington/johnsonville/19a-clifford-road/gjVP0
"17 Stephen Street, Johnsonville, Wellington",7/08/2003,$875K,$815K - $935K,https://www.homes.co.nz/address/wellington/johnsonville/17-stephen-street/XwKaY
"37A Clifford Road, Johnsonville, Wellington",12/08/2019,$880K,$815K - $940K,https://www.homes.co.nz/address/wellington/johnsonville/37a-clifford-road/Va1Y9
"15 Fisher Street, Johnsonville, Wellington",2/07/2021,$1.12M,$1.07M - $1.14M,https://www.homes.co.nz/address/wellington/johnsonville/15-fisher-street/rX5MR
"18B Stephen Street, Johnsonville, Wellington",4/04/2011,$980K,$910K - $1.05M,https://www.homes.co.nz/address/wellington/johnsonville/18b-stephen-street/4Ea0V
"7 Kitchener Terrace, Johnsonville, Wellington",1/01/1970,$475K,$435K - $515K,https://www.homes.co.nz/address/wellington/johnsonville/7-kitchener-terrace/NXYKW
"11 Tolhurst Street, Johnsonville, Wellington",12/10/2012,$1.11M,$1.04M - $1.19M,https://www.homes.co.nz/address/wellington/johnsonville/11-tolhurst-street/bLZE4
"19 Morgan Street, Johnsonville, Wellington",27/09/2011,$1.45M,$1.35M - $1.55M,https://www.homes.co.nz/address/wellington/johnsonville/19-morgan-street/LD9RN
"148 Fraser Avenue, Johnsonville, Wellington",19/12/2017,$825K,$770K - $880K,https://www.homes.co.nz/address/wellington/johnsonville/148-fraser-avenue/kkWnw
"26C Burgess Road, Johnsonville, Wellington",21/07/2016,$860K,$810K - $905K,https://www.homes.co.nz/address/wellington/johnsonville/26c-burgess-road/nLWAN
"22 Hawtrey Terrace, Johnsonville, Wellington",1/01/1970,$990K,$920K - $1.06M,https://www.homes.co.nz/address/wellington/johnsonville/22-hawtrey-terrace/jD95x
"47A Bould Street, Johnsonville, Wellington",1/01/1970,$1.14M,$1.06M - $1.22M,https://www.homes.co.nz/address/wellington/johnsonville/47a-bould-street/NXWJ7
"27 Woodland Road, Johnsonville, Wellington",1/01/1970,$1.03M,$955K - $1.1M,https://www.homes.co.nz/address/wellington/johnsonville/27-woodland-road/vOwzP
"37 Meadowcroft Grove, Johnsonville, Wellington",11/10/2012,$1.21M,$1.12M - $1.29M,https://www.homes.co.nz/address/wellington/johnsonville/37-meadowcroft-grove/DLyAr
"35B Ironside Road, Johnsonville, Wellington",15/09/1998,$900K,$850K - $950K,https://www.homes.co.nz/address/wellington/johnsonville/35b-ironside-road/JLVre
"136 Ironside Road, Johnsonville, Wellington",27/05/2021,$865K,$830K - $890K,https://www.homes.co.nz/address/wellington/johnsonville/136-ironside-road/lXBvw
"20 Hindmarsh Street, Johnsonville, Wellington",16/12/2019,$1M,$930K - $1.07M,https://www.homes.co.nz/address/wellington/johnsonville/20-hindmarsh-street/0r7z9
"15B Petherick Crescent, Johnsonville, Wellington",9/12/2020,$820K,$760K - $875K,https://www.homes.co.nz/address/wellington/johnsonville/15b-petherick-crescent/bLo7a
"25 Helston Road, Johnsonville, Wellington",9/07/2020,$1.45M,$1.35M - $1.55M,https://www.homes.co.nz/address/wellington/johnsonville/25-helston-road/OgkzR
"38A Bassett Road, Johnsonville, Wellington",8/05/2008,$625K,$590K - $660K,https://www.homes.co.nz/address/wellington/johnsonville/38a-bassett-road/eBoZ5
"19 Clifford Road, Johnsonville, Wellington",11/03/2010,$995K,$925K - $1.06M,https://www.homes.co.nz/address/wellington/johnsonville/19-clifford-road/zOP48
"123 Ohariu Road, Johnsonville, Wellington",13/07/2017,$1.06M,$990K - $1.14M,https://www.homes.co.nz/address/wellington/johnsonville/123-ohariu-road/PabbL
"16 Fisher Street, Johnsonville, Wellington",16/12/2013,$985K,$920K - $1.06M,https://www.homes.co.nz/address/wellington/johnsonville/16-fisher-street/nLqNy
"11 Clifford Road, Johnsonville, Wellington",30/10/2020,$1.24M,$1.16M - $1.33M,https://www.homes.co.nz/address/wellington/johnsonville/11-clifford-road/QRPP5
"16 Erris Street, Johnsonville, Wellington",18/01/2011,$1.06M,$985K - $1.13M,https://www.homes.co.nz/address/wellington/johnsonville/16-erris-street/x4v02
"2 Truscott Avenue, Johnsonville, Wellington",26/06/2003,$1.05M,$975K - $1.12M,https://www.homes.co.nz/address/wellington/johnsonville/2-truscott-avenue/K0JEL
"34 Cortina Avenue, Johnsonville, Wellington",26/03/2019,$1.13M,$1.05M - $1.21M,https://www.homes.co.nz/address/wellington/johnsonville/34-cortina-avenue/QRv7V
"81 Ironside Road, Johnsonville, Wellington",1/01/1970,$870K,$810K - $930K,https://www.homes.co.nz/address/wellington/johnsonville/81-ironside-road/MkK0B
"3 Stephen Street, Johnsonville, Wellington",1/01/1970,$785K,$730K - $840K,https://www.homes.co.nz/address/wellington/johnsonville/3-stephen-street/5EZzL
"1B Takatimu Way, Johnsonville, Wellington",1/10/2015,$865K,$805K - $925K,https://www.homes.co.nz/address/wellington/johnsonville/1b-takatimu-way/vOwyr
"9A Hawtrey Terrace, Johnsonville, Wellington",12/01/2018,$1.21M,$1.13M - $1.3M,https://www.homes.co.nz/address/wellington/johnsonville/9a-hawtrey-terrace/albln
"26 Kipling Street, Johnsonville, Wellington",23/10/2015,$1.04M,$970K - $1.12M,https://www.homes.co.nz/address/wellington/johnsonville/26-kipling-street/Lwq10
"44 Bould Street, Johnsonville, Wellington",21/11/2018,$915K,$855K - $980K,https://www.homes.co.nz/address/wellington/johnsonville/44-bould-street/0rQzB
"66 Tarawera Road, Johnsonville, Wellington",11/04/2019,$790K,$735K - $845K,https://www.homes.co.nz/address/wellington/johnsonville/66-tarawera-road/Al5YD
"83A Broderick Road, Johnsonville, Wellington",18/03/2015,$1.07M,$1M - $1.15M,https://www.homes.co.nz/address/wellington/johnsonville/83a-broderick-road/VaJz7
