WKT,address_id,change_id,address_type,unit_value,address_number,address_number_suffix,address_number_high,water_route_name,water_name,suburb_locality,town_city,full_address_number,full_road_name,full_address,road_section_id,gd2000_xcoord,gd2000_ycoord,water_route_name_ascii,water_name_ascii,suburb_locality_ascii,town_city_ascii,full_road_name_ascii,full_address_ascii,shape_X,shape_Y
POINT (174.7987402167 -41.2281605667),1550174,1345924,Road,,71,,,,,Johnsonville,Wellington,71,Haumia Street,"71 Haumia Street, Johnsonville, Wellington",86488,174.79874022,-41.22816057,,,Johnsonville,Wellington,Haumia Street,"71 Haumia Street, Johnsonville, Wellington",174.7987402167,-41.2281605667
POINT (174.8068740667 -41.2161836667),1391883,1668922,Road,,19,A,,,,Johnsonville,Wellington,19A,Clifford Road,"19A Clifford Road, Johnsonville, Wellington",98104,174.80687407,-41.21618367,,,Johnsonville,Wellington,Clifford Road,"19A Clifford Road, Johnsonville, Wellington",174.8068740667,-41.2161836667
POINT (174.8026014667 -41.2287400167),1637614,1402635,Road,,17,,,,,Johnsonville,Wellington,17,Stephen Street,"17 Stephen Street, Johnsonville, Wellington",326581,174.80260147,-41.22874002,,,Johnsonville,Wellington,Stephen Street,"17 Stephen Street, Johnsonville, Wellington",174.8026014667,-41.2287400167
POINT (174.80532715 -41.2149479667),381082,1579883,Road,,37,A,,,,Johnsonville,Wellington,37A,Clifford Road,"37A Clifford Road, Johnsonville, Wellington",95724,174.80532715,-41.21494797,,,Johnsonville,Wellington,Clifford Road,"37A Clifford Road, Johnsonville, Wellington",174.80532715,-41.2149479667
POINT (174.8002103 -41.2276880333),1443114,1258372,Road,,15,,,,,Johnsonville,Wellington,15,Fisher Street,"15 Fisher Street, Johnsonville, Wellington",92325,174.80021030,-41.22768803,,,Johnsonville,Wellington,Fisher Street,"15 Fisher Street, Johnsonville, Wellington",174.8002103,-41.2276880333
POINT (174.8014138167 -41.22935425),1565261,1692715,Road,,18,B,,,,Johnsonville,Wellington,18B,Stephen Street,"18B Stephen Street, Johnsonville, Wellington",326581,174.80141382,-41.22935425,,,Johnsonville,Wellington,Stephen Street,"18B Stephen Street, Johnsonville, Wellington",174.8014138167,-41.22935425
POINT (174.8054402333 -41.2321261167),909197,806470,Road,,7,,,,,Johnsonville,Wellington,7,Kitchener Terrace,"7 Kitchener Terrace, Johnsonville, Wellington",92430,174.80544023,-41.23212612,,,Johnsonville,Wellington,Kitchener Terrace,"7 Kitchener Terrace, Johnsonville, Wellington",174.8054402333,-41.2321261167
POINT (174.7939664 -41.2208878167),368824,327710,Road,,11,,,,,Johnsonville,Wellington,11,Tolhurst Street,"11 Tolhurst Street, Johnsonville, Wellington",95909,174.79396640,-41.22088782,,,Johnsonville,Wellington,Tolhurst Street,"11 Tolhurst Street, Johnsonville, Wellington",174.7939664,-41.2208878167
POINT (174.80613885 -41.2198381667),1323794,1165324,Road,,19,,,,,Johnsonville,Wellington,19,Morgan Street,"19 Morgan Street, Johnsonville, Wellington",81437,174.80613885,-41.21983817,,,Johnsonville,Wellington,Morgan Street,"19 Morgan Street, Johnsonville, Wellington",174.80613885,-41.2198381667
POINT (174.8127062833 -41.2208279667),1432016,1674308,Road,,3,A,,,,Johnsonville,Wellington,3A,Hardy Street,"3A Hardy Street, Johnsonville, Wellington",79562,174.81270628,-41.22082797,,,Johnsonville,Wellington,Hardy Street,"3A Hardy Street, Johnsonville, Wellington",174.8127062833,-41.2208279667
POINT (174.7995096167 -41.2341434333),1700590,1443625,Road,,148,,,,,Johnsonville,Wellington,148,Fraser Avenue,"148 Fraser Avenue, Johnsonville, Wellington",70838,174.79950962,-41.23414343,,,Johnsonville,Wellington,Fraser Avenue,"148 Fraser Avenue, Johnsonville, Wellington",174.7995096167,-41.2341434333
POINT (174.8097079333 -41.22271175),1364917,1664875,Road,,26,C,,,,Johnsonville,Wellington,26C,Burgess Road,"26C Burgess Road, Johnsonville, Wellington",76517,174.80970793,-41.22271175,,,Johnsonville,Wellington,Burgess Road,"26C Burgess Road, Johnsonville, Wellington",174.8097079333,-41.22271175
POINT (174.8092181 -41.2149209667),380893,338600,Road,,22,,,,,Johnsonville,Wellington,22,Hawtrey Terrace,"22 Hawtrey Terrace, Johnsonville, Wellington",72656,174.80921810,-41.21492097,,,Johnsonville,Wellington,Hawtrey Terrace,"22 Hawtrey Terrace, Johnsonville, Wellington",174.8092181,-41.2149209667
POINT (174.80445515 -41.2282005167),1301924,1655456,Road,,47,A,,,,Johnsonville,Wellington,47A,Bould Street,"47A Bould Street, Johnsonville, Wellington",89914,174.80445515,-41.22820052,,,Johnsonville,Wellington,Bould Street,"47A Bould Street, Johnsonville, Wellington",174.80445515,-41.2282005167
POINT (174.8011152 -41.2206099),375326,333533,Road,,27,,,,,Johnsonville,Wellington,27,Woodland Road,"27 Woodland Road, Johnsonville, Wellington",90095,174.80111520,-41.22060990,,,Johnsonville,Wellington,Woodland Road,"27 Woodland Road, Johnsonville, Wellington",174.8011152,-41.2206099
POINT (174.7921152167 -41.2255797167),1523450,1325813,Road,,37,,,,,Johnsonville,Wellington,37,Meadowcroft Grove,"37 Meadowcroft Grove, Johnsonville, Wellington",97287,174.79211522,-41.22557972,,,Johnsonville,Wellington,Meadowcroft Grove,"37 Meadowcroft Grove, Johnsonville, Wellington",174.7921152167,-41.2255797167
POINT (174.8029969333 -41.2194778167),1533765,1687056,Road,,35,B,,,,Johnsonville,Wellington,35B,Ironside Road,"35B Ironside Road, Johnsonville, Wellington",89228,174.80299693,-41.21947782,,,Johnsonville,Wellington,Ironside Road,"35B Ironside Road, Johnsonville, Wellington",174.8029969333,-41.2194778167
POINT (174.7982381333 -41.2165148667),375098,333326,Road,,136,,,,,Johnsonville,Wellington,136,Ironside Road,"136 Ironside Road, Johnsonville, Wellington",353165,174.79823813,-41.21651487,,,Johnsonville,Wellington,Ironside Road,"136 Ironside Road, Johnsonville, Wellington",174.7982381333,-41.2165148667
POINT (174.80550075 -41.22683135),382224,339773,Road,,20,,,,,Johnsonville,Wellington,20,Hindmarsh Street,"20 Hindmarsh Street, Johnsonville, Wellington",77417,174.80550075,-41.22683135,,,Johnsonville,Wellington,Hindmarsh Street,"20 Hindmarsh Street, Johnsonville, Wellington",174.80550075,-41.22683135
POINT (174.81110995 -41.2213111833),1611050,1769164,Road,,15,B,,,,Johnsonville,Wellington,15B,Petherick Crescent,"15B Petherick Crescent, Johnsonville, Wellington",385102,174.81110995,-41.22131118,,,Johnsonville,Wellington,Petherick Crescent,"15B Petherick Crescent, Johnsonville, Wellington",174.81110995,-41.2213111833
POINT (174.8104851833 -41.2214606833),381641,339255,Road,,25,,,,,Johnsonville,Wellington,25,Helston Road,"25 Helston Road, Johnsonville, Wellington",84796,174.81048518,-41.22146068,,,Johnsonville,Wellington,Helston Road,"25 Helston Road, Johnsonville, Wellington",174.8104851833,-41.2214606833
POINT (174.8080369 -41.2175508),381738,339343,Road,,38,,,,,Johnsonville,Wellington,38,Bassett Road,"38 Bassett Road, Johnsonville, Wellington",74240,174.80803690,-41.21755080,,,Johnsonville,Wellington,Bassett Road,"38 Bassett Road, Johnsonville, Wellington",174.8080369,-41.2175508
POINT (174.8066639833 -41.2161489),1391882,1219308,Road,,19,,,,,Johnsonville,Wellington,19,Clifford Road,"19 Clifford Road, Johnsonville, Wellington",98104,174.80666398,-41.21614890,,,Johnsonville,Wellington,Clifford Road,"19 Clifford Road, Johnsonville, Wellington",174.8066639833,-41.2161489
POINT (174.7996940333 -41.2148509),374678,332935,Road,,123,,,,,Johnsonville,Wellington,123,Ohariu Road,"123 Ohariu Road, Johnsonville, Wellington",352908,174.79969403,-41.21485090,,,Johnsonville,Wellington,Ohariu Road,"123 Ohariu Road, Johnsonville, Wellington",174.7996940333,-41.2148509
POINT (174.8002646 -41.22813785),375986,334132,Road,,16,,,,,Johnsonville,Wellington,16,Fisher Street,"16 Fisher Street, Johnsonville, Wellington",92325,174.80026460,-41.22813785,,,Johnsonville,Wellington,Fisher Street,"16 Fisher Street, Johnsonville, Wellington",174.8002646,-41.22813785
