full_address,estimate_date,estimate_value,estimate_range,link
"194 Karori Road, Karori, Wellington",7/07/2001,$1.77M,$1.66M - $1.89M,https://www.homes.co.nz/address/wellington/karori/194-karori-road/0rOQB
"59 Hatton Street, Karori, Wellington",25/10/2004,$1.05M,$985K - $1.12M,https://www.homes.co.nz/address/wellington/karori/59-hatton-street/4EnqV
"38 Kano Street, Karori, Wellington",1/01/1970,$1.34M,$1.25M - $1.42M,https://www.homes.co.nz/address/wellington/karori/38-kano-street/bLJg2
"20 Futuna Close, Karori, Wellington",17/12/2010,$1.21M,$1.13M - $1.29M,https://www.homes.co.nz/address/wellington/karori/20-futuna-close/QRGX5
"64 Beauchamp Street, Karori, Wellington",1/01/1970,$1.55M,$1.45M - $1.66M,https://www.homes.co.nz/address/wellington/karori/64-beauchamp-street/7EWgD
"23 St Albans Avenue, Karori, Wellington",1/05/1985,$975K,$910K - $1.04M,https://www.homes.co.nz/address/wellington/karori/23-st-albans-avenue/9YDvA
"105 Parkvale Road, Karori, Wellington",19/10/2007,$1.04M,$975K - $1.11M,https://www.homes.co.nz/address/wellington/karori/105-parkvale-road/kkqPv
"26 Voltaire Street, Karori, Wellington",3/12/1986,$1.1M,$1.03M - $1.17M,https://www.homes.co.nz/address/wellington/karori/26-voltaire-street/2EYO7
"81 Duthie Street, Karori, Wellington",2/06/1988,$1.43M,$1.33M - $1.52M,https://www.homes.co.nz/address/wellington/karori/81-duthie-street/JLgBL
"15 Mallam Street, Karori, Wellington",1/03/2013,$5.04M,$4.71M - $5.37M,https://www.homes.co.nz/address/wellington/karori/15-mallam-street/Mkav1
"3 Parsons Glen, Karori, Wellington",4/03/1991,$1.12M,$1.05M - $1.19M,https://www.homes.co.nz/address/wellington/karori/3-parsons-glen/841n7
"42 Collier Avenue, Karori, Wellington",16/01/2001,$1.14M,$1.06M - $1.21M,https://www.homes.co.nz/address/wellington/karori/42-collier-avenue/kkqrl
"16 Montgomery Avenue, Karori, Wellington",19/10/2001,$975K,$915K - $1.04M,https://www.homes.co.nz/address/wellington/karori/16-montgomery-avenue/ekOj2
"52 Victory Avenue, Karori, Wellington",18/01/2021,$965K,$905K - $1.02M,https://www.homes.co.nz/address/wellington/karori/52-victory-avenue/alba5
"24 Richmond Avenue, Karori, Wellington",4/05/2011,$1.13M,$1.05M - $1.2M,https://www.homes.co.nz/address/wellington/karori/24-richmond-avenue/o0vvV
"10 Buxton Avenue, Karori, Wellington",4/05/2018,$935K,$875K - $995K,https://www.homes.co.nz/address/wellington/karori/10-buxton-avenue/5EzDV
"27 Khouri Avenue, Karori, Wellington",2/11/2005,$1.11M,$1.04M - $1.18M,https://www.homes.co.nz/address/wellington/karori/27-khouri-avenue/RqwZ1
"9 Hathaway Avenue, Karori, Wellington",1/01/1970,$845K,$790K - $900K,https://www.homes.co.nz/address/wellington/karori/9-hathaway-avenue/DLJDD
