WKT,address_id,change_id,address_type,unit_value,address_number,address_number_suffix,address_number_high,water_route_name,water_name,suburb_locality,town_city,full_address_number,full_road_name,full_address,road_section_id,gd2000_xcoord,gd2000_ycoord,water_route_name_ascii,water_name_ascii,suburb_locality_ascii,town_city_ascii,full_road_name_ascii,full_address_ascii,shape_X,shape_Y
POINT (174.7269275167 -41.2878768),2016622,1768785,Road,,28,B,,,,Karori,Wellington,28B,Collier Avenue,"28B Collier Avenue, Karori, Wellington",73494,174.72692752,-41.28787680,,,Karori,Wellington,Collier Avenue,"28B Collier Avenue, Karori, Wellington",174.7269275167,-41.2878768
POINT (174.7418620333 -41.2831392333),346381,307374,Road,,194,,,,,Karori,Wellington,194,Karori Road,"194 Karori Road, Karori, Wellington",78987,174.74186203,-41.28313923,,,Karori,Wellington,Karori Road,"194 Karori Road, Karori, Wellington",174.7418620333,-41.2831392333
POINT (174.7420715333 -41.2805022333),346656,307611,Road,,59,,,,,Karori,Wellington,59,Hatton Street,"59 Hatton Street, Karori, Wellington",94569,174.74207153,-41.28050223,,,Karori,Wellington,Hatton Street,"59 Hatton Street, Karori, Wellington",174.7420715333,-41.2805022333
POINT (174.7405410167 -41.2900578167),347234,308163,Road,,38,,,,,Karori,Wellington,38,Kano Street,"38 Kano Street, Karori, Wellington",71249,174.74054102,-41.29005782,,,Karori,Wellington,Kano Street,"38 Kano Street, Karori, Wellington",174.7405410167,-41.2900578167
POINT (174.73835865 -41.2814993833),1359213,1193445,Road,,20,,,,,Karori,Wellington,20,Futuna Close,"20 Futuna Close, Karori, Wellington",346240,174.73835865,-41.28149938,,,Karori,Wellington,Futuna Close,"20 Futuna Close, Karori, Wellington",174.73835865,-41.2814993833
POINT (174.7390730167 -41.2894223667),347417,308340,Road,,64,,,,,Karori,Wellington,64,Beauchamp Street,"64 Beauchamp Street, Karori, Wellington",73070,174.73907302,-41.28942237,,,Karori,Wellington,Beauchamp Street,"64 Beauchamp Street, Karori, Wellington",174.7390730167,-41.2894223667
POINT (174.7195688833 -41.2918414833),344495,305585,Road,,23,,,,,Karori,Wellington,23,St Albans Avenue,"23 St Albans Avenue, Karori, Wellington",88381,174.71956888,-41.29184148,,,Karori,Wellington,St Albans Avenue,"23 St Albans Avenue, Karori, Wellington",174.7195688833,-41.2918414833
POINT (174.73490075 -41.2788197167),345069,306137,Road,,105,,,,,Karori,Wellington,105,Parkvale Road,"105 Parkvale Road, Karori, Wellington",79764,174.73490075,-41.27881972,,,Karori,Wellington,Parkvale Road,"105 Parkvale Road, Karori, Wellington",174.73490075,-41.2788197167
POINT (174.7427126 -41.2937611167),347109,308041,Road,,26,,,,,Karori,Wellington,26,Voltaire Street,"26 Voltaire Street, Karori, Wellington",78099,174.74271260,-41.29376112,,,Karori,Wellington,Voltaire Street,"26 Voltaire Street, Karori, Wellington",174.7427126,-41.2937611167
POINT (174.7342086167 -41.2734771667),345062,306130,Road,,200,,,,,Karori,Wellington,200,Parkvale Road,"200 Parkvale Road, Karori, Wellington",80716,174.73420862,-41.27347717,,,Karori,Wellington,Parkvale Road,"200 Parkvale Road, Karori, Wellington",174.7342086167,-41.2734771667
POINT (174.7476385167 -41.2898052167),348907,309725,Road,,81,,,,,Karori,Wellington,81,Duthie Street,"81 Duthie Street, Karori, Wellington",71098,174.74763852,-41.28980522,,,Karori,Wellington,Duthie Street,"81 Duthie Street, Karori, Wellington",174.7476385167,-41.2898052167
POINT (174.75135335 -41.28343695),1082961,958786,Road,,15,,,,,Karori,Wellington,15,Mallam Street,"15 Mallam Street, Karori, Wellington",87952,174.75135335,-41.28343695,,,Karori,Wellington,Mallam Street,"15 Mallam Street, Karori, Wellington",174.75135335,-41.28343695
