full_address,estimate_date,estimate_value,estimate_range,link
"12 Whitu Street, Khandallah, Wellington",1/11/2007,$1.69M,$1.6M - $1.79M,https://www.homes.co.nz/address/wellington/khandallah/12-whitu-street/2EbqL
"11 Himalaya Crescent, Khandallah, Wellington",7/12/2018,$1.14M,$1.08M - $1.21M,https://www.homes.co.nz/address/wellington/khandallah/11-himalaya-crescent/o0rKB
"147 Onslow Road, Khandallah, Wellington",29/05/2006,$950K,$900K - $1.01M,https://www.homes.co.nz/address/wellington/khandallah/147-onslow-road/al0pe
"8 Gavaskar Place, Khandallah, Wellington",18/07/2013,$1.19M,$1.12M - $1.26M,https://www.homes.co.nz/address/wellington/khandallah/8-gavaskar-place/NXDq5
"35 Baroda Street, Khandallah, Wellington",29/03/2017,$1.02M,$960K - $1.08M,https://www.homes.co.nz/address/wellington/khandallah/35-baroda-street/X4vA2
"5 Omar Street, Khandallah, Wellington",1/01/1970,$1.13M,$1.06M - $1.19M,https://www.homes.co.nz/address/wellington/khandallah/5-omar-street/Vax47
"149 Cockayne Road, Khandallah, Wellington",28/11/2009,$1.18M,$1.11M - $1.25M,https://www.homes.co.nz/address/wellington/khandallah/149-cockayne-road/lXxAX
"44 Clark Street, Khandallah, Wellington",28/01/2012,$3.01M,$2.84M - $3.18M,https://www.homes.co.nz/address/wellington/khandallah/44-clark-street/E0nzr
"65 Delhi Crescent, Khandallah, Wellington",4/10/1999,$1.25M,$1.18M - $1.32M,https://www.homes.co.nz/address/wellington/khandallah/65-delhi-crescent/LDvOX
"13 Izard Road, Khandallah, Wellington",11/12/2014,$1.65M,$1.56M - $1.75M,https://www.homes.co.nz/address/wellington/khandallah/13-izard-road/bBqgY
"31 Punjab Street, Khandallah, Wellington",25/08/2004,$2.27M,$2.14M - $2.4M,https://www.homes.co.nz/address/wellington/khandallah/31-punjab-street/nyYz9
"4 Whitu Street, Khandallah, Wellington",10/05/2017,$1.18M,$1.11M - $1.24M,https://www.homes.co.nz/address/wellington/khandallah/4-whitu-street/PaNbv
"4 Kohima Drive, Khandallah, Wellington",24/09/2014,$1.65M,$1.56M - $1.75M,https://www.homes.co.nz/address/wellington/khandallah/4-kohima-drive/qk1o1
"15 Rangoon Street, Khandallah, Wellington",29/05/1999,$1.4M,$1.32M - $1.48M,https://www.homes.co.nz/address/wellington/khandallah/15-rangoon-street/DLnjM
"15A Lochiel Road, Khandallah, Wellington",1/01/1970,$1.88M,$1.78M - $1.99M,https://www.homes.co.nz/address/wellington/khandallah/15a-lochiel-road/ybNLe
"69A Nicholson Road, Khandallah, Wellington",9/09/1997,$1.4M,$1.32M - $1.48M,https://www.homes.co.nz/address/wellington/khandallah/69a-nicholson-road/X4lgW
"27 Agra Crescent, Khandallah, Wellington",1/01/1970,$1.48M,$1.4M - $1.57M,https://www.homes.co.nz/address/wellington/khandallah/27-agra-crescent/o0gnV
"3 Nepal Place, Khandallah, Wellington",1/01/1970,$1.89M,$1.78M - $1.99M,https://www.homes.co.nz/address/wellington/khandallah/3-nepal-place/eBJQ2
"6 Nicholson Road, Khandallah, Wellington",27/09/2012,$1.98M,$1.87M - $2.09M,https://www.homes.co.nz/address/wellington/khandallah/6-nicholson-road/5EWqK
"52D Mandalay Terrace, Khandallah, Wellington",21/12/2007,$1.2M,$1.15M - $1.24M,https://www.homes.co.nz/address/wellington/khandallah/52d-mandalay-terrace/X4GON
"31 Ngatoto Street, Khandallah, Wellington",23/01/2013,$1.86M,$1.75M - $1.97M,https://www.homes.co.nz/address/wellington/khandallah/31-ngatoto-street/X4kx7
"35 Rama Crescent, Khandallah, Wellington",1/01/1970,$1.62M,$1.53M - $1.71M,https://www.homes.co.nz/address/wellington/khandallah/35-rama-crescent/OxG9X
"7 Butavas Street, Khandallah, Wellington",1/01/1970,$2.37M,$2.24M - $2.51M,https://www.homes.co.nz/address/wellington/khandallah/7-butavas-street/PaOkw
"6 Waru Street, Khandallah, Wellington",4/10/2011,$2.95M,$2.78M - $3.11M,https://www.homes.co.nz/address/wellington/khandallah/6-waru-street/W4Y87
"22 Amapur Drive, Khandallah, Wellington",24/12/2004,$1.29M,$1.21M - $1.36M,https://www.homes.co.nz/address/wellington/khandallah/22-amapur-drive/4EnN8
"5 Glentui Grove, Khandallah, Wellington",15/02/2019,$2.94M,$2.77M - $3.11M,https://www.homes.co.nz/address/wellington/khandallah/5-glentui-grove/jD1we
"37 Burma Road, Khandallah, Wellington",11/10/2004,$985K,$945K - $1.02M,https://www.homes.co.nz/address/wellington/khandallah/37-burma-road/vy5pO
"11 Ranui Crescent, Khandallah, Wellington",9/11/1997,$925K,$845K - $1M,https://www.homes.co.nz/address/wellington/khandallah/11-ranui-crescent/K08wL
"11 Mysore Street, Khandallah, Wellington",1/01/1970,$1.17M,$1.11M - $1.24M,https://www.homes.co.nz/address/wellington/khandallah/11-mysore-street/vy0jG
"1 Mysore Street, Khandallah, Wellington",1/01/1970,$1.46M,$1.37M - $1.54M,https://www.homes.co.nz/address/wellington/khandallah/1-mysore-street/MkbRK
"30 Onslow Road, Khandallah, Wellington",1/01/1970,$390K,$355K - $420K,https://www.homes.co.nz/address/wellington/khandallah/30-onslow-road/Y2zBp
"43 Lohia Street, Khandallah, Wellington",22/07/2005,$1.56M,$1.47M - $1.65M,https://www.homes.co.nz/address/wellington/khandallah/43-lohia-street/GkAPv
"38 Onslow Road, Khandallah, Wellington",19/02/2004,$1.29M,$1.22M - $1.37M,https://www.homes.co.nz/address/wellington/khandallah/38-onslow-road/vyRGr
"39 Delhi Crescent, Khandallah, Wellington",30/05/2015,$820K,$785K - $850K,https://www.homes.co.nz/address/wellington/khandallah/39-delhi-crescent/kkzkA
"44 Madras Street, Khandallah, Wellington",25/11/1997,$1.2M,$1.13M - $1.27M,https://www.homes.co.nz/address/wellington/khandallah/44-madras-street/ROeXx
