WKT,address_id,change_id,address_type,unit_value,address_number,address_number_suffix,address_number_high,water_route_name,water_name,suburb_locality,town_city,full_address_number,full_road_name,full_address,road_section_id,gd2000_xcoord,gd2000_ycoord,water_route_name_ascii,water_name_ascii,suburb_locality_ascii,town_city_ascii,full_road_name_ascii,full_address_ascii,shape_X,shape_Y
POINT (174.8000072167 -41.2532607),1634890,1708199,Road,,105,A,,,,Khandallah,Wellington,105A,Amritsar Street,"105A Amritsar Street, Khandallah, Wellington",91795,174.80000722,-41.25326070,,,Khandallah,Wellington,Amritsar Street,"105A Amritsar Street, Khandallah, Wellington",174.8000072167,-41.2532607
POINT (174.7879353167 -41.2542371667),1404002,1546456,Road,,12,,,,,Khandallah,Wellington,12,Whitu Street,"12 Whitu Street, Khandallah, Wellington",86340,174.78793532,-41.25423717,,,Khandallah,Wellington,Whitu Street,"12 Whitu Street, Khandallah, Wellington",174.7879353167,-41.2542371667
POINT (174.7901908 -41.2509858333),1391683,1219165,Road,,11,,,,,Khandallah,Wellington,11,Himalaya Crescent,"11 Himalaya Crescent, Khandallah, Wellington",70433,174.79019080,-41.25098583,,,Khandallah,Wellington,Himalaya Crescent,"11 Himalaya Crescent, Khandallah, Wellington",174.7901908,-41.2509858333
POINT (174.8031704 -41.2485174),903502,802452,Road,,147,,,,,Khandallah,Wellington,147,Onslow Road,"147 Onslow Road, Khandallah, Wellington",83642,174.80317040,-41.24851740,,,Khandallah,Wellington,Onslow Road,"147 Onslow Road, Khandallah, Wellington",174.8031704,-41.2485174
POINT (174.77723505 -41.2431315167),587997,523560,Road,,8,,,,,Khandallah,Wellington,8,Gavaskar Place,"8 Gavaskar Place, Khandallah, Wellington",74069,174.77723505,-41.24313152,,,Khandallah,Wellington,Gavaskar Place,"8 Gavaskar Place, Khandallah, Wellington",174.77723505,-41.2431315167
POINT (174.7909289667 -41.2407973833),369576,328325,Road,,35,,,,,Khandallah,Wellington,35,Baroda Street,"35 Baroda Street, Khandallah, Wellington",96665,174.79092897,-41.24079738,,,Khandallah,Wellington,Baroda Street,"35 Baroda Street, Khandallah, Wellington",174.7909289667,-41.2407973833
POINT (174.79513965 -41.2409213),376826,334857,Road,,5,,,,,Khandallah,Wellington,5,Omar Street,"5 Omar Street, Khandallah, Wellington",98258,174.79513965,-41.24092130,,,Khandallah,Wellington,Omar Street,"5 Omar Street, Khandallah, Wellington",174.79513965,-41.2409213
POINT (174.7835952833 -41.25244745),361632,321408,Road,,149,,,,,Khandallah,Wellington,149,Cockayne Road,"149 Cockayne Road, Khandallah, Wellington",86395,174.78359528,-41.25244745,,,Khandallah,Wellington,Cockayne Road,"149 Cockayne Road, Khandallah, Wellington",174.7835952833,-41.25244745
POINT (174.7877716667 -41.2433390833),369637,328380,Road,,44,,,,,Khandallah,Wellington,44,Clark Street,"44 Clark Street, Khandallah, Wellington",70744,174.78777167,-41.24333908,,,Khandallah,Wellington,Clark Street,"44 Clark Street, Khandallah, Wellington",174.7877716667,-41.2433390833
POINT (174.7953798167 -41.242139),376839,334869,Road,,65,,,,,Khandallah,Wellington,65,Delhi Crescent,"65 Delhi Crescent, Khandallah, Wellington",99330,174.79537982,-41.24213900,,,Khandallah,Wellington,Delhi Crescent,"65 Delhi Crescent, Khandallah, Wellington",174.7953798167,-41.242139
POINT (174.7955988667 -41.2464433667),377034,335052,Road,,13,,,,,Khandallah,Wellington,13,Izard Road,"13 Izard Road, Khandallah, Wellington",97432,174.79559887,-41.24644337,,,Khandallah,Wellington,Izard Road,"13 Izard Road, Khandallah, Wellington",174.7955988667,-41.2464433667
POINT (174.7864618 -41.2534025167),370191,328852,Road,,31,,,,,Khandallah,Wellington,31,Punjab Street,"31 Punjab Street, Khandallah, Wellington",78959,174.78646180,-41.25340252,,,Khandallah,Wellington,Punjab Street,"31 Punjab Street, Khandallah, Wellington",174.7864618,-41.2534025167
POINT (174.7878542 -41.2537316333),370425,329033,Road,,4,,,,,Khandallah,Wellington,4,Whitu Street,"4 Whitu Street, Khandallah, Wellington",86340,174.78785420,-41.25373163,,,Khandallah,Wellington,Whitu Street,"4 Whitu Street, Khandallah, Wellington",174.7878542,-41.2537316333
POINT (174.8010014667 -41.2467591),1939907,1916475,Road,4,19,A,,,,Khandallah,Wellington,4/19A,Raumati Terrace,"4/19A Raumati Terrace, Khandallah, Wellington",83651,174.80100147,-41.24675910,,,Khandallah,Wellington,Raumati Terrace,"4/19A Raumati Terrace, Khandallah, Wellington",174.8010014667,-41.2467591
POINT (174.7930052333 -41.2405868167),1479152,1287754,Road,,4,,,,,Khandallah,Wellington,4,Kohima Drive,"4 Kohima Drive, Khandallah, Wellington",96668,174.79300523,-41.24058682,,,Khandallah,Wellington,Kohima Drive,"4 Kohima Drive, Khandallah, Wellington",174.7930052333,-41.2405868167
POINT (174.79758385 -41.2400690667),376564,334618,Road,,15,,,,,Khandallah,Wellington,15,Rangoon Street,"15 Rangoon Street, Khandallah, Wellington",71641,174.79758385,-41.24006907,,,Khandallah,Wellington,Rangoon Street,"15 Rangoon Street, Khandallah, Wellington",174.79758385,-41.2400690667
POINT (174.79365185 -41.2464605333),369957,1579199,Road,,15,A,,,,Khandallah,Wellington,15A,Lochiel Road,"15A Lochiel Road, Khandallah, Wellington",74333,174.79365185,-41.24646053,,,Khandallah,Wellington,Lochiel Road,"15A Lochiel Road, Khandallah, Wellington",174.79365185,-41.2464605333
POINT (174.7938975833 -41.2503757167),370545,1579302,Road,,69,A,,,,Khandallah,Wellington,69A,Nicholson Road,"69A Nicholson Road, Khandallah, Wellington",83761,174.79389758,-41.25037572,,,Khandallah,Wellington,Nicholson Road,"69A Nicholson Road, Khandallah, Wellington",174.7938975833,-41.2503757167
POINT (174.7974748667 -41.2427486833),1644971,1407455,Road,,28,,,,,Khandallah,Wellington,28,Madras Street,"28 Madras Street, Khandallah, Wellington",76258,174.79747487,-41.24274868,,,Khandallah,Wellington,Madras Street,"28 Madras Street, Khandallah, Wellington",174.7974748667,-41.2427486833
POINT (174.7917693167 -41.2461530333),370131,328801,Road,,27,,,,,Khandallah,Wellington,27,Agra Crescent,"27 Agra Crescent, Khandallah, Wellington",74115,174.79176932,-41.24615303,,,Khandallah,Wellington,Agra Crescent,"27 Agra Crescent, Khandallah, Wellington",174.7917693167,-41.2461530333
POINT (174.7898995833 -41.2530775667),370302,328936,Road,,3,,,,,Khandallah,Wellington,3,Nepal Place,"3 Nepal Place, Khandallah, Wellington",73227,174.78989958,-41.25307757,,,Khandallah,Wellington,Nepal Place,"3 Nepal Place, Khandallah, Wellington",174.7898995833,-41.2530775667
