full_address,estimate_date,estimate_value,estimate_range,link
"11 Ngarimu Grove, Ngaio, Wellington",14/12/2017,$1.04M,$955K - $1.13M,https://www.homes.co.nz/address/wellington/ngaio/11-ngarimu-grove/LDlLX
"10 Iwi Street, Ngaio, Wellington",2/03/2016,$1.22M,$1.12M - $1.32M,https://www.homes.co.nz/address/wellington/ngaio/10-iwi-street/o0KbB
"33 Kenya Street, Ngaio, Wellington",2/11/2017,$1.53M,$1.4M - $1.65M,https://www.homes.co.nz/address/wellington/ngaio/33-kenya-street/9Y5GA
"47 Rothsay Road, Ngaio, Wellington",12/05/2001,$1M,$925K - $1.09M,https://www.homes.co.nz/address/wellington/ngaio/47-rothsay-road/aleza
"22A Bombay Street, Ngaio, Wellington",1/01/1970,$930K,$855K - $1.01M,https://www.homes.co.nz/address/wellington/ngaio/22a-bombay-street/PabaL
"22A Quetta Street, Ngaio, Wellington",24/03/2021,$1.06M,$990K - $1.11M,https://www.homes.co.nz/address/wellington/ngaio/22a-quetta-street/AlPRQ
"43 Motueka Street, Ngaio, Wellington",9/08/2009,$1.49M,$1.37M - $1.61M,https://www.homes.co.nz/address/wellington/ngaio/43-motueka-street/kWBBl
"28 Govind Grove, Ngaio, Wellington",8/02/2018,$1.04M,$955K - $1.13M,https://www.homes.co.nz/address/wellington/ngaio/28-govind-grove/NX1NM
"35 Kenya Street, Ngaio, Wellington",26/08/2015,$1.38M,$1.27M - $1.49M,https://www.homes.co.nz/address/wellington/ngaio/35-kenya-street/9YqLJ
"1/27 Abbott Street, Ngaio, Wellington",19/12/2012,$840K,$775K - $910K,https://www.homes.co.nz/address/wellington/ngaio/1-27-abbott-street/GkqXB
"1 Ellora Street, Ngaio, Wellington",28/06/2012,$1.3M,$1.19M - $1.4M,https://www.homes.co.nz/address/wellington/ngaio/1-ellora-street/JLD4v
"20 Tarikaka Street, Ngaio, Wellington",1/01/1970,$1.16M,$1.06M - $1.25M,https://www.homes.co.nz/address/wellington/ngaio/20-tarikaka-street/VaEbo
"132 Old Porirua Road, Ngaio, Wellington",22/07/2019,$1.21M,$1.11M - $1.31M,https://www.homes.co.nz/address/wellington/ngaio/132-old-porirua-road/o0zQ2
"22 Govind Grove, Ngaio, Wellington",25/03/2015,$840K,$775K - $910K,https://www.homes.co.nz/address/wellington/ngaio/22-govind-grove/AlVDz
"3B Ngarimu Grove, Ngaio, Wellington",14/03/2012,$690K,$635K - $745K,https://www.homes.co.nz/address/wellington/ngaio/3b-ngarimu-grove/GkroZ
"1 Armitage Street, Ngaio, Wellington",24/06/2011,$1.22M,$1.12M - $1.32M,https://www.homes.co.nz/address/wellington/ngaio/1-armitage-street/lXOL9
"6 Fox Street, Ngaio, Wellington",16/10/2010,$1.35M,$1.24M - $1.46M,https://www.homes.co.nz/address/wellington/ngaio/6-fox-street/RObQg
"24 Ngatoto Street, Ngaio, Wellington",19/10/2000,$1.94M,$1.78M - $2.1M,https://www.homes.co.nz/address/wellington/ngaio/24-ngatoto-street/MkP9v
"51 Tarikaka Street, Ngaio, Wellington",19/02/2019,$1.53M,$1.41M - $1.65M,https://www.homes.co.nz/address/wellington/ngaio/51-tarikaka-street/qk1Y7
"66 Khandallah Road, Ngaio, Wellington",3/08/2016,$1.75M,$1.61M - $1.89M,https://www.homes.co.nz/address/wellington/ngaio/66-khandallah-road/4EexM
"7 Orari Street, Ngaio, Wellington",9/11/2015,$1.45M,$1.33M - $1.56M,https://www.homes.co.nz/address/wellington/ngaio/7-orari-street/o0QrV
"15A Makererua Street, Ngaio, Wellington",30/10/2007,$1.09M,$1.01M - $1.18M,https://www.homes.co.nz/address/wellington/ngaio/15a-makererua-street/2EBRj
"160 Cockayne Road, Ngaio, Wellington",1/01/1970,$950K,$875K - $1.03M,https://www.homes.co.nz/address/wellington/ngaio/160-cockayne-road/0rGkB
"18 Colway Street, Ngaio, Wellington",19/08/2004,$1.44M,$1.32M - $1.56M,https://www.homes.co.nz/address/wellington/ngaio/18-colway-street/ROkK1
"20 Colway Street, Ngaio, Wellington",1/01/1970,$1.58M,$1.45M - $1.71M,https://www.homes.co.nz/address/wellington/ngaio/20-colway-street/NXaE7
"6 Crofton Road, Ngaio, Wellington",1/01/1970,$1.17M,$1.08M - $1.27M,https://www.homes.co.nz/address/wellington/ngaio/6-crofton-road/nLqqp
"28 Quetta Street, Ngaio, Wellington",3/10/2016,$665K,$610K - $720K,https://www.homes.co.nz/address/wellington/ngaio/28-quetta-street/kkwYO
"51 Fox Street, Ngaio, Wellington",13/11/2012,$1.04M,$960K - $1.13M,https://www.homes.co.nz/address/wellington/ngaio/51-fox-street/9YRXW
"10 Fox Street, Ngaio, Wellington",1/08/2000,$1.32M,$1.21M - $1.43M,https://www.homes.co.nz/address/wellington/ngaio/10-fox-street/MkP81
"77 Awarua Street, Ngaio, Wellington",1/01/1970,$1.05M,$965K - $1.13M,https://www.homes.co.nz/address/wellington/ngaio/77-awarua-street/DLJZD
"12 Motueka Street, Ngaio, Wellington",18/04/2014,$1.46M,$1.34M - $1.58M,https://www.homes.co.nz/address/wellington/ngaio/12-motueka-street/ROp2g
"31 Tarikaka Street, Ngaio, Wellington",6/11/2012,$1.32M,$1.21M - $1.43M,https://www.homes.co.nz/address/wellington/ngaio/31-tarikaka-street/ROqlp
