WKT,address_id,change_id,address_type,unit_value,address_number,address_number_suffix,address_number_high,water_route_name,water_name,suburb_locality,town_city,full_address_number,full_road_name,full_address,road_section_id,gd2000_xcoord,gd2000_ycoord,water_route_name_ascii,water_name_ascii,suburb_locality_ascii,town_city_ascii,full_road_name_ascii,full_address_ascii,shape_X,shape_Y
POINT (174.76853645 -41.2421570333),354518,314970,Road,,11,,,,,Ngaio,Wellington,11,Ngarimu Grove,"11 Ngarimu Grove, Ngaio, Wellington",319389,174.76853645,-41.24215703,,,Ngaio,Wellington,Ngarimu Grove,"11 Ngarimu Grove, Ngaio, Wellington",174.76853645,-41.2421570333
POINT (174.7737535 -41.2461538167),354735,315167,Road,,10,,,,,Ngaio,Wellington,10,Iwi Street,"10 Iwi Street, Ngaio, Wellington",78074,174.77375350,-41.24615382,,,Ngaio,Wellington,Iwi Street,"10 Iwi Street, Ngaio, Wellington",174.7737535,-41.2461538167
POINT (174.7721839667 -41.2539230167),355059,315450,Road,,33,,,,,Ngaio,Wellington,33,Kenya Street,"33 Kenya Street, Ngaio, Wellington",83442,174.77218397,-41.25392302,,,Ngaio,Wellington,Kenya Street,"33 Kenya Street, Ngaio, Wellington",174.7721839667,-41.2539230167
POINT (174.7730001167 -41.2470281833),355198,315561,Road,,47,,,,,Ngaio,Wellington,47,Rothsay Road,"47 Rothsay Road, Ngaio, Wellington",320166,174.77300012,-41.24702818,,,Ngaio,Wellington,Rothsay Road,"47 Rothsay Road, Ngaio, Wellington",174.7730001167,-41.2470281833
POINT (174.7803300667 -41.2496199),361828,1578712,Road,,22,A,,,,Ngaio,Wellington,22A,Bombay Street,"22A Bombay Street, Ngaio, Wellington",75668,174.78033007,-41.24961990,,,Ngaio,Wellington,Bombay Street,"22A Bombay Street, Ngaio, Wellington",174.7803300667,-41.2496199
POINT (174.7765355667 -41.2504852),361829,1578713,Road,,22,A,,,,Ngaio,Wellington,22A,Quetta Street,"22A Quetta Street, Ngaio, Wellington",77943,174.77653557,-41.25048520,,,Ngaio,Wellington,Quetta Street,"22A Quetta Street, Ngaio, Wellington",174.7765355667,-41.2504852
POINT (174.7815184833 -41.2573996167),362866,322467,Road,,55,,,,,Ngaio,Wellington,55,Old Porirua Road,"55 Old Porirua Road, Ngaio, Wellington",84551,174.78151848,-41.25739962,,,Ngaio,Wellington,Old Porirua Road,"55 Old Porirua Road, Ngaio, Wellington",174.7815184833,-41.2573996167
POINT (174.7688811667 -41.24684555),355182,315545,Road,,43,,,,,Ngaio,Wellington,43,Motueka Street,"43 Motueka Street, Ngaio, Wellington",90773,174.76888117,-41.24684555,,,Ngaio,Wellington,Motueka Street,"43 Motueka Street, Ngaio, Wellington",174.7688811667,-41.24684555
POINT (174.7715495833 -41.2430013),1642789,1405944,Road,,28,,,,,Ngaio,Wellington,28,Govind Grove,"28 Govind Grove, Ngaio, Wellington",74912,174.77154958,-41.24300130,,,Ngaio,Wellington,Govind Grove,"28 Govind Grove, Ngaio, Wellington",174.7715495833,-41.2430013
POINT (174.7720408833 -41.2540586833),355083,315469,Road,,35,,,,,Ngaio,Wellington,35,Kenya Street,"35 Kenya Street, Ngaio, Wellington",83442,174.77204088,-41.25405868,,,Ngaio,Wellington,Kenya Street,"35 Kenya Street, Ngaio, Wellington",174.7720408833,-41.2540586833
