full_address,estimate_date,estimate_value,estimate_range,link
"4 Melanie Place, Orewa",29/07/2009,$1.18M,$1.12M - $1.25M,https://www.homes.co.nz/address/orewa/orewa/4-melanie-place/LopzV
"50 Chesterfield Way, Orewa",14/08/2018,$1.26M,$1.19M - $1.33M,https://www.homes.co.nz/address/orewa/orewa/50-chesterfield-way/Dgv4r
"494A Hibiscus Coast Highway, Orewa",20/04/2015,$1.03M,$970K - $1.09M,https://www.homes.co.nz/address/orewa/orewa/494a-hibiscus-coast-highway/gAbG9
"108 Panorama Heights, Orewa",2/06/2015,$1.27M,$1.2M - $1.34M,https://www.homes.co.nz/address/orewa/orewa/108-panorama-heights/8ELlG
"2/4 Edward Avenue, Orewa",18/07/2009,$1.17M,$1.11M - $1.24M,https://www.homes.co.nz/address/orewa/orewa/2-4-edward-avenue/4Zq1k
"76 Maire Road, Orewa",23/04/2013,$1.55M,$1.46M - $1.63M,https://www.homes.co.nz/address/orewa/orewa/76-maire-road/gA2p2
"94 Tauranga Place, Orewa",25/08/2003,$1.31M,$1.24M - $1.38M,https://www.homes.co.nz/address/orewa/orewa/94-tauranga-place/JMKBa
"1 Barton Place, Orewa",23/01/2020,$1.29M,$1.22M - $1.36M,https://www.homes.co.nz/address/orewa/orewa/1-barton-place/LvnLq
"1 Forest Glen, Orewa",16/07/2005,$985K,$930K - $1.04M,https://www.homes.co.nz/address/orewa/orewa/1-forest-glen/M8lZk
"2 Edgewater Grove, Orewa",28/01/2004,$1.39M,$1.32M - $1.47M,https://www.homes.co.nz/address/orewa/orewa/2-edgewater-grove/axMGe
"102 Grovenor Drive, Orewa",3/01/2015,$1.69M,$1.6M - $1.78M,https://www.homes.co.nz/address/orewa/orewa/102-grovenor-drive/DXWYv
"114 Maire Road, Orewa",12/04/2018,$1.09M,$1.03M - $1.15M,https://www.homes.co.nz/address/orewa/orewa/114-maire-road/yOJzM
"2/262 Hibiscus Coast Highway, Orewa",1/01/1970,$975K,$920K - $1.03M,https://www.homes.co.nz/address/orewa/orewa/2-262-hibiscus-coast-highway/YlWJG
"113 Roberta Crescent, Orewa",18/04/2005,$1.62M,$1.53M - $1.7M,https://www.homes.co.nz/address/orewa/orewa/113-roberta-crescent/R52Z
"96 Landmark Terrace, Orewa",31/08/2011,$1.25M,$1.18M - $1.32M,https://www.homes.co.nz/address/orewa/orewa/96-landmark-terrace/RvxY
"297 Hibiscus Coast Highway, Orewa",1/01/1970,$4.36M,$4.12M - $4.6M,https://www.homes.co.nz/address/orewa/orewa/297-hibiscus-coast-highway/VjBpq
"98 Panorama Heights, Orewa",2/06/2015,$1.19M,$1.12M - $1.25M,https://www.homes.co.nz/address/orewa/orewa/98-panorama-heights/yQE2b
"3/413 Hibiscus Coast Highway, Orewa",1/01/1970,$1.8M,$1.7M - $1.9M,https://www.homes.co.nz/address/orewa/orewa/3-413-hibiscus-coast-highway/yXBK
"11 Annalise Place, Orewa",7/02/2014,$1.02M,$960K - $1.07M,https://www.homes.co.nz/address/orewa/orewa/11-annalise-place/AB4PG
