WKT,address_id,change_id,address_type,unit_value,address_number,address_number_suffix,address_number_high,water_route_name,water_name,suburb_locality,town_city,full_address_number,full_road_name,full_address,road_section_id,gd2000_xcoord,gd2000_ycoord,water_route_name_ascii,water_name_ascii,suburb_locality_ascii,town_city_ascii,full_road_name_ascii,full_address_ascii,shape_X,shape_Y
POINT (174.69015995 -36.5893450333),1486038,1293662,Road,,4,,,,,Orewa,Orewa,4,Melanie Place,"4 Melanie Place, Orewa",191294,174.69015995,-36.58934503,,,Orewa,Orewa,Melanie Place,"4 Melanie Place, Orewa",174.69015995,-36.5893450333
POINT (174.68292 -36.587351),1504031,1309907,Road,,50,,,,,Orewa,Orewa,50,Chesterfield Way,"50 Chesterfield Way, Orewa",292633,174.68292000,-36.58735100,,,Orewa,Orewa,Chesterfield Way,"50 Chesterfield Way, Orewa",174.68292,-36.587351
POINT (174.690314 -36.575121),1520595,1684677,Road,,494,A,,,,Orewa,Orewa,494A,Hibiscus Coast Highway,"494A Hibiscus Coast Highway, Orewa",322083,174.69031400,-36.57512100,,,Orewa,Orewa,Hibiscus Coast Highway,"494A Hibiscus Coast Highway, Orewa",174.690314,-36.575121
POINT (174.684842 -36.57661715),1942927,1503866,Road,,108,,,,,Orewa,Orewa,108,Panorama Heights,"108 Panorama Heights, Orewa",375997,174.68484200,-36.57661715,,,Orewa,Orewa,Panorama Heights,"108 Panorama Heights, Orewa",174.684842,-36.57661715
POINT (174.6928013667 -36.5846082333),1502587,1790970,Road,2,4,,,,,Orewa,Orewa,2/4,Edward Avenue,"2/4 Edward Avenue, Orewa",191506,174.69280137,-36.58460823,,,Orewa,Orewa,Edward Avenue,"2/4 Edward Avenue, Orewa",174.6928013667,-36.5846082333
POINT (174.67836165 -36.5845847833),1848540,1487081,Road,,76,,,,,Orewa,Orewa,76,Maire Road,"76 Maire Road, Orewa",382554,174.67836165,-36.58458478,,,Orewa,Orewa,Maire Road,"76 Maire Road, Orewa",174.67836165,-36.5845847833
POINT (174.680293 -36.580154),1519693,1322805,Road,,138,,,,,Orewa,Orewa,138,West Hoe Heights,"138 West Hoe Heights, Orewa",382249,174.68029300,-36.58015400,,,Orewa,Orewa,West Hoe Heights,"138 West Hoe Heights, Orewa",174.680293,-36.580154
POINT (174.690918 -36.577323),1750857,1470825,Road,,5,,,,,Orewa,Orewa,5,Puriri Avenue,"5 Puriri Avenue, Orewa",343534,174.69091800,-36.57732300,,,Orewa,Orewa,Puriri Avenue,"5 Puriri Avenue, Orewa",174.690918,-36.577323
POINT (174.67573595 -36.5905181167),1488756,1296149,Road,,94,,,,,Orewa,Orewa,94,Tauranga Place,"94 Tauranga Place, Orewa",204608,174.67573595,-36.59051812,,,Orewa,Orewa,Tauranga Place,"94 Tauranga Place, Orewa",174.67573595,-36.5905181167
POINT (174.684385 -36.592191),1498927,1305491,Road,,1,,,,,Orewa,Orewa,1,Barton Place,"1 Barton Place, Orewa",202730,174.68438500,-36.59219100,,,Orewa,Orewa,Barton Place,"1 Barton Place, Orewa",174.684385,-36.592191
POINT (174.695247 -36.587378),1484480,1292225,Road,,7,,,,,Orewa,Orewa,7,Tamariki Avenue,"7 Tamariki Avenue, Orewa",162393,174.69524700,-36.58737800,,,Orewa,Orewa,Tamariki Avenue,"7 Tamariki Avenue, Orewa",174.695247,-36.587378
POINT (174.689884 -36.576942),1483417,1291243,Road,,1,,,,,Orewa,Orewa,1,Forest Glen,"1 Forest Glen, Orewa",178963,174.68988400,-36.57694200,,,Orewa,Orewa,Forest Glen,"1 Forest Glen, Orewa",174.689884,-36.576942
POINT (174.695079 -36.595603),1493059,1300110,Road,,2,,,,,Orewa,Orewa,2,Edgewater Grove,"2 Edgewater Grove, Orewa",178108,174.69507900,-36.59560300,,,Orewa,Orewa,Edgewater Grove,"2 Edgewater Grove, Orewa",174.695079,-36.595603
POINT (174.68076415 -36.5876351833),1493069,1300120,Road,,102,,,,,Orewa,Orewa,102,Grovenor Drive,"102 Grovenor Drive, Orewa",202526,174.68076415,-36.58763518,,,Orewa,Orewa,Grovenor Drive,"102 Grovenor Drive, Orewa",174.68076415,-36.5876351833
POINT (174.6783141833 -36.5885045),1692596,1438133,Road,,114,,,,,Orewa,Orewa,114,Maire Road,"114 Maire Road, Orewa",382552,174.67831418,-36.58850450,,,Orewa,Orewa,Maire Road,"114 Maire Road, Orewa",174.6783141833,-36.5885045
POINT (174.697941 -36.591089),1520601,1791724,Road,2,262,,,,,Orewa,Orewa,2/262,Hibiscus Coast Highway,"2/262 Hibiscus Coast Highway, Orewa",180264,174.69794100,-36.59108900,,,Orewa,Orewa,Hibiscus Coast Highway,"2/262 Hibiscus Coast Highway, Orewa",174.697941,-36.591089
POINT (174.681475 -36.575404),1493924,1300909,Road,,113,,,,,Orewa,Orewa,113,Roberta Crescent,"113 Roberta Crescent, Orewa",322023,174.68147500,-36.57540400,,,Orewa,Orewa,Roberta Crescent,"113 Roberta Crescent, Orewa",174.681475,-36.575404
POINT (174.6853911167 -36.5782519167),1857746,1492960,Road,,96,,,,,Orewa,Orewa,96,Landmark Terrace,"96 Landmark Terrace, Orewa",369173,174.68539112,-36.57825192,,,Orewa,Orewa,Landmark Terrace,"96 Landmark Terrace, Orewa",174.6853911167,-36.5782519167
POINT (174.6844258667 -36.57777505),1753918,1488592,Road,,3,,,,,Orewa,Orewa,3,Park Lane,"3 Park Lane, Orewa",369171,174.68442587,-36.57777505,,,Orewa,Orewa,Park Lane,"3 Park Lane, Orewa",174.6844258667,-36.57777505
POINT (174.6970591333 -36.587623),1520410,1323425,Road,,297,,,,,Orewa,Orewa,297,Hibiscus Coast Highway,"297 Hibiscus Coast Highway, Orewa",185019,174.69705913,-36.58762300,,,Orewa,Orewa,Hibiscus Coast Highway,"297 Hibiscus Coast Highway, Orewa",174.6970591333,-36.587623
POINT (174.68470445 -36.5766439667),1942911,1503852,Road,,98,,,,,Orewa,Orewa,98,Panorama Heights,"98 Panorama Heights, Orewa",375997,174.68470445,-36.57664397,,,Orewa,Orewa,Panorama Heights,"98 Panorama Heights, Orewa",174.68470445,-36.5766439667
POINT (174.693613 -36.579229),1520841,1323702,Road,,413,,,,,Orewa,Orewa,413,Hibiscus Coast Highway,"413 Hibiscus Coast Highway, Orewa",343538,174.69361300,-36.57922900,,,Orewa,Orewa,Hibiscus Coast Highway,"413 Hibiscus Coast Highway, Orewa",174.693613,-36.579229
POINT (174.6887355833 -36.5758903333),1855532,1491433,Road,,11,,,,,Orewa,Orewa,11,Annalise Place,"11 Annalise Place, Orewa",371845,174.68873558,-36.57589033,,,Orewa,Orewa,Annalise Place,"11 Annalise Place, Orewa",174.6887355833,-36.5758903333
POINT (174.68807195 -36.5907441833),1932962,1747421,Road,,48,C,,,,Orewa,Orewa,48C,Hatton Road,"48C Hatton Road, Orewa",323070,174.68807195,-36.59074418,,,Orewa,Orewa,Hatton Road,"48C Hatton Road, Orewa",174.68807195,-36.5907441833
POINT (174.6841671833 -36.5831066),1898861,1921429,Road,37A,30,,,,,Orewa,Orewa,37A/30,Ambassador Glade,"37A/30 Ambassador Glade, Orewa",322306,174.68416718,-36.58310660,,,Orewa,Orewa,Ambassador Glade,"37A/30 Ambassador Glade, Orewa",174.6841671833,-36.5831066
POINT (174.692582 -36.5812740167),1520741,1791745,Road,3,422,,,,,Orewa,Orewa,3/422,Hibiscus Coast Highway,"3/422 Hibiscus Coast Highway, Orewa",380713,174.69258200,-36.58127402,,,Orewa,Orewa,Hibiscus Coast Highway,"3/422 Hibiscus Coast Highway, Orewa",174.692582,-36.5812740167
POINT (174.6794763 -36.5883175833),1945626,1749622,Road,,66,E,,,,Orewa,Orewa,66E,Grand Drive,"66E Grand Drive, Orewa",321977,174.67947630,-36.58831758,,,Orewa,Orewa,Grand Drive,"66E Grand Drive, Orewa",174.6794763,-36.5883175833
POINT (174.6853231 -36.5790231333),1572596,1362432,Road,,21,,,,,Orewa,Orewa,21,Landmark Terrace,"21 Landmark Terrace, Orewa",369174,174.68532310,-36.57902313,,,Orewa,Orewa,Landmark Terrace,"21 Landmark Terrace, Orewa",174.6853231,-36.5790231333
