full_address,estimate_date,estimate_value,estimate_range,link
"5B Tawa Terrace, Tawa, Wellington",3/02/2010,$680K,$665K - $700K,https://www.homes.co.nz/address/wellington/tawa/5b-tawa-terrace/OgMLw
"42 Tremewan Street, Tawa, Wellington",10/01/2011,$935K,$880K - $985K,https://www.homes.co.nz/address/wellington/tawa/42-tremewan-street/PapkX
"5A Tawa Terrace, Tawa, Wellington",10/09/2008,$710K,$695K - $730K,https://www.homes.co.nz/address/wellington/tawa/5a-tawa-terrace/x4yNb
"20A Larsen Crescent, Tawa, Wellington",22/07/2016,$770K,$725K - $810K,https://www.homes.co.nz/address/wellington/tawa/20a-larsen-crescent/Vwgn5
"2 Cecil Road, Tawa, Wellington",21/12/2009,$1.41M,$1.33M - $1.49M,https://www.homes.co.nz/address/wellington/tawa/2-cecil-road/2E2a7
"20A Tawa Terrace, Tawa, Wellington",1/01/1970,$1M,$945K - $1.06M,https://www.homes.co.nz/address/wellington/tawa/20a-tawa-terrace/vyaVl
"6B Cecil Road, Tawa, Wellington",1/01/1970,$1.01M,$955K - $1.07M,https://www.homes.co.nz/address/wellington/tawa/6b-cecil-road/AlYDa
"3A Morgan Place, Tawa, Wellington",2/07/1996,$1.05M,$1M - $1.1M,https://www.homes.co.nz/address/wellington/tawa/3a-morgan-place/OgJBJ
"318B Main Road, Tawa, Wellington",30/05/2002,$880K,$830K - $925K,https://www.homes.co.nz/address/wellington/tawa/318b-main-road/QRbXV
"17A Coates Street, Tawa, Wellington",23/02/2013,$870K,$820K - $915K,https://www.homes.co.nz/address/wellington/tawa/17a-coates-street/MkNpk
"37 Lincoln Avenue, Tawa, Wellington",6/02/2002,$1.1M,$1.04M - $1.16M,https://www.homes.co.nz/address/wellington/tawa/37-lincoln-avenue/NXy5M
"48 Kiwi Crescent, Tawa, Wellington",4/11/2009,$920K,$870K - $975K,https://www.homes.co.nz/address/wellington/tawa/48-kiwi-crescent/nL2VW
