WKT,address_id,change_id,address_type,unit_value,address_number,address_number_suffix,address_number_high,water_route_name,water_name,suburb_locality,town_city,full_address_number,full_road_name,full_address,road_section_id,gd2000_xcoord,gd2000_ycoord,water_route_name_ascii,water_name_ascii,suburb_locality_ascii,town_city_ascii,full_road_name_ascii,full_address_ascii,shape_X,shape_Y
POINT (174.828387913292 -41.174634698131),2099931,2866029,Road,,5,B,,,,Tawa,Wellington,5B,Tawa Terrace,"5B Tawa Terrace, Tawa, Wellington",89346,174.82838791,-41.17463470,,,Tawa,Wellington,Tawa Terrace,"5B Tawa Terrace, Tawa, Wellington",174.828387913292,-41.174634698131
POINT (174.839204955963 -41.153610666466),2100063,2868815,Road,,42,,,,,Tawa,Wellington,42,Tremewan Street,"42 Tremewan Street, Tawa, Wellington",93349,174.83920496,-41.15361067,,,Tawa,Wellington,Tremewan Street,"42 Tremewan Street, Tawa, Wellington",174.839204955963,-41.153610666466
POINT (174.828529410847 -41.1746470022662),392104,2866028,Road,,5,A,,,,Tawa,Wellington,5A,Tawa Terrace,"5A Tawa Terrace, Tawa, Wellington",89346,174.82852941,-41.17464700,,,Tawa,Wellington,Tawa Terrace,"5A Tawa Terrace, Tawa, Wellington",174.828529410847,-41.1746470022662
POINT (174.8183308667 -41.17553005),2016625,1768789,Road,,20,A,,,,Tawa,Wellington,20A,Larsen Crescent,"20A Larsen Crescent, Tawa, Wellington",85450,174.81833087,-41.17553005,,,Tawa,Wellington,Larsen Crescent,"20A Larsen Crescent, Tawa, Wellington",174.8183308667,-41.17553005
POINT (174.8252835 -41.1837562667),2016628,1897988,Road,1,20,,,,,Tawa,Wellington,1/20,Main Road,"1/20 Main Road, Tawa, Wellington",77096,174.82528350,-41.18375627,,,Tawa,Wellington,Main Road,"1/20 Main Road, Tawa, Wellington",174.8252835,-41.1837562667
POINT (174.8388970667 -41.1734970333),2016627,1544064,Road,,134,,,,,Tawa,Wellington,134,Bing Lucas Drive,"134 Bing Lucas Drive, Tawa, Wellington",351004,174.83889707,-41.17349703,,,Tawa,Wellington,Bing Lucas Drive,"134 Bing Lucas Drive, Tawa, Wellington",174.8388970667,-41.1734970333
POINT (174.83087405 -41.1699821333),392041,348607,Road,,2,,,,,Tawa,Wellington,2,Cecil Road,"2 Cecil Road, Tawa, Wellington",87924,174.83087405,-41.16998213,,,Tawa,Wellington,Cecil Road,"2 Cecil Road, Tawa, Wellington",174.83087405,-41.1699821333
POINT (174.8294729667 -41.1742395333),391961,1580693,Road,,20,A,,,,Tawa,Wellington,20A,Tawa Terrace,"20A Tawa Terrace, Tawa, Wellington",89345,174.82947297,-41.17423953,,,Tawa,Wellington,Tawa Terrace,"20A Tawa Terrace, Tawa, Wellington",174.8294729667,-41.1742395333
POINT (174.8312713333 -41.1688770667),392128,1580702,Road,,6,B,,,,Tawa,Wellington,6B,Cecil Road,"6B Cecil Road, Tawa, Wellington",85644,174.83127133,-41.16887707,,,Tawa,Wellington,Cecil Road,"6B Cecil Road, Tawa, Wellington",174.8312713333,-41.1688770667
POINT (174.8285244167 -41.1757849833),392327,1580720,Road,,3,A,,,,Tawa,Wellington,3A,Morgan Place,"3A Morgan Place, Tawa, Wellington",80257,174.82852442,-41.17578498,,,Tawa,Wellington,Morgan Place,"3A Morgan Place, Tawa, Wellington",174.8285244167,-41.1757849833
