full_address,estimate_date,estimate_value,estimate_range,link
"25 Moonsail Drive, Whitby, Porirua",29/01/2016,$1.07M,$1.01M - $1.13M,https://www.homes.co.nz/address/porirua/whitby/25-moonsail-drive/DjoXn
"15 Moonsail Drive, Whitby, Porirua",21/04/2016,$1.07M,$1.01M - $1.13M,https://www.homes.co.nz/address/porirua/whitby/15-moonsail-drive/Mbnxk
"38 Moonsail Drive, Whitby, Porirua",13/03/2019,$1.07M,$1.01M - $1.13M,https://www.homes.co.nz/address/porirua/whitby/38-moonsail-drive/82Vgj
"34 Moonsail Drive, Whitby, Porirua",4/07/2016,$1.05M,$995K - $1.11M,https://www.homes.co.nz/address/porirua/whitby/34-moonsail-drive/PJ2PD
"31 Moonsail Drive, Whitby, Porirua",22/04/2016,$1.07M,$1.01M - $1.13M,https://www.homes.co.nz/address/porirua/whitby/31-moonsail-drive/YzxEG
"20 James Cook Drive, Whitby, Porirua",21/01/1997,$1.24M,$1.17M - $1.31M,https://www.homes.co.nz/address/porirua/whitby/20-james-cook-drive/ZNxrV
"4 Ayton Drive, Whitby, Porirua",12/08/1989,$1.06M,$1M - $1.12M,https://www.homes.co.nz/address/porirua/whitby/4-ayton-drive/9gNvA
"59 Discovery Drive, Whitby, Porirua",31/05/2012,$1.12M,$1.06M - $1.18M,https://www.homes.co.nz/address/porirua/whitby/59-discovery-drive/DYExr
"14 Pacific View, Whitby, Porirua",7/09/2012,$1.45M,$1.37M - $1.53M,https://www.homes.co.nz/address/porirua/whitby/14-pacific-view/8yJyg
"58 Endeavour Drive, Whitby, Porirua",9/11/2016,$1.58M,$1.49M - $1.67M,https://www.homes.co.nz/address/porirua/whitby/58-endeavour-drive/05R5B
"3 Semaphore Lane, Whitby, Porirua",12/01/2012,$1.37M,$1.29M - $1.44M,https://www.homes.co.nz/address/porirua/whitby/3-semaphore-lane/PBv9G
"20 Madeira Close, Whitby, Porirua",26/11/2020,$1.51M,$1.43M - $1.6M,https://www.homes.co.nz/address/porirua/whitby/20-madeira-close/Nazql
