WKT,address_id,change_id,address_type,unit_value,address_number,address_number_suffix,address_number_high,water_route_name,water_name,suburb_locality,town_city,full_address_number,full_road_name,full_address,road_section_id,gd2000_xcoord,gd2000_ycoord,water_route_name_ascii,water_name_ascii,suburb_locality_ascii,town_city_ascii,full_road_name_ascii,full_address_ascii,shape_X,shape_Y
POINT (174.8748588833 -41.1108873833),2012237,1532075,Road,,25,,,,,Whitby,Porirua,25,Moonsail Drive,"25 Moonsail Drive, Whitby, Porirua",385442,174.87485888,-41.11088738,,,Whitby,Porirua,Moonsail Drive,"25 Moonsail Drive, Whitby, Porirua",174.8748588833,-41.1108873833
POINT (174.8753454 -41.1111443667),2012238,1532076,Road,,15,,,,,Whitby,Porirua,15,Moonsail Drive,"15 Moonsail Drive, Whitby, Porirua",385442,174.87534540,-41.11114437,,,Whitby,Porirua,Moonsail Drive,"15 Moonsail Drive, Whitby, Porirua",174.8753454,-41.1111443667
POINT (174.8743459 -41.1104172167),2018909,1556042,Road,,38,,,,,Whitby,Porirua,38,Moonsail Drive,"38 Moonsail Drive, Whitby, Porirua",385442,174.87434590,-41.11041722,,,Whitby,Porirua,Moonsail Drive,"38 Moonsail Drive, Whitby, Porirua",174.8743459,-41.1104172167
POINT (174.8747296 -41.1104690333),2018912,1556044,Road,,34,,,,,Whitby,Porirua,34,Moonsail Drive,"34 Moonsail Drive, Whitby, Porirua",385442,174.87472960,-41.11046903,,,Whitby,Porirua,Moonsail Drive,"34 Moonsail Drive, Whitby, Porirua",174.8747296,-41.1104690333
POINT (174.8746182 -41.1107670167),2018915,1556047,Road,,31,,,,,Whitby,Porirua,31,Moonsail Drive,"31 Moonsail Drive, Whitby, Porirua",385442,174.87461820,-41.11076702,,,Whitby,Porirua,Moonsail Drive,"31 Moonsail Drive, Whitby, Porirua",174.8746182,-41.1107670167
POINT (174.9015823333 -41.11200475),1450948,1265073,Road,,20,,,,,Whitby,Porirua,20,James Cook Drive,"20 James Cook Drive, Whitby, Porirua",346757,174.90158233,-41.11200475,,,Whitby,Porirua,James Cook Drive,"20 James Cook Drive, Whitby, Porirua",174.9015823333,-41.11200475
POINT (174.8903440167 -41.1087703167),1451118,1265243,Road,,4,,,,,Whitby,Porirua,4,Ayton Drive,"4 Ayton Drive, Whitby, Porirua",76006,174.89034402,-41.10877032,,,Whitby,Porirua,Ayton Drive,"4 Ayton Drive, Whitby, Porirua",174.8903440167,-41.1087703167
POINT (174.8899467333 -41.1155935667),1451398,1265520,Road,,59,,,,,Whitby,Porirua,59,Discovery Drive,"59 Discovery Drive, Whitby, Porirua",71087,174.88994673,-41.11559357,,,Whitby,Porirua,Discovery Drive,"59 Discovery Drive, Whitby, Porirua",174.8899467333,-41.1155935667
POINT (174.9069933833 -41.1176514),1609868,1384547,Road,,14,,,,,Whitby,Porirua,14,Pacific View,"14 Pacific View, Whitby, Porirua",354944,174.90699338,-41.11765140,,,Whitby,Porirua,Pacific View,"14 Pacific View, Whitby, Porirua",174.9069933833,-41.1176514
POINT (174.9086080333 -41.1159778),1609886,1384565,Road,,58,,,,,Whitby,Porirua,58,Endeavour Drive,"58 Endeavour Drive, Whitby, Porirua",354941,174.90860803,-41.11597780,,,Whitby,Porirua,Endeavour Drive,"58 Endeavour Drive, Whitby, Porirua",174.9086080333,-41.1159778
